name,team,shirtNo,photo,playerId,fotmob_player_id,Assists,xA,key_passes,final_third_passes,penalty_box_passes,prog_passes,xG,Goals,Shots,SCA,GCA,defensive_actions,final_third_entries,penalty_box_entries,prog_carries,minutes
Yusuf Lawal,Arouca,7.0,https://static-img.zz.pt/jogadores/83/602083_20230227190014_yusuf_lawal.png,421502.0,889100.0,0.0,0.5,7.0,11.0,10.0,32.0,1.3,2.0,19.0,24.0,3.0,102.0,16.0,12.0,33.0,1030.0
David Neres,Benfica,7.0,https://static-img.zz.pt/jogadores/29/458729_20220916101854_david_neres.jpg,326505.0,793066.0,8.0,7.7,49.0,60.0,53.0,107.0,5.4,6.0,50.0,104.0,15.0,132.0,66.0,33.0,94.0,1959.0
Kenji Gorré,Boavista,7.0,https://static-img.zz.pt/jogadores/72/919072__20220805143225_kenji_gorre.png,280768.0,643232.0,6.0,3.3,27.0,40.0,24.0,61.0,3.0,2.0,44.0,77.0,11.0,117.0,73.0,33.0,93.0,1476.0
Rodrigo Gomes,Braga,7.0,https://static-img.zz.pt/jogadores/67/829267__20211005203615_rodrigo_gomes.png,402823.0,1192166.0,,,,,,,,,,,,,,,,
Saviour Godwin,Casa-Pia,7.0,https://static-img.zz.pt/jogadores/70/375070_20220913170213_saviour_godwin.png,444768.0,643712.0,1.0,4.0,34.0,15.0,32.0,50.0,7.0,4.0,80.0,80.0,8.0,198.0,71.0,48.0,123.0,2405.0
Luther Singh,Chaves,7.0,https://static-img.zz.pt/jogadores/31/300731_20220911014251_luther_singh.png,294243.0,672084.0,1.0,0.7,8.0,17.0,3.0,18.0,0.5,0.0,8.0,13.0,1.0,63.0,9.0,6.0,14.0,627.0
Rodrigo Martins,Estoril,7.0,https://static-img.zz.pt/jogadores/87/487387_20220803214522_rodrigo_martins.png,444630.0,955822.0,0.0,1.0,8.0,18.0,7.0,35.0,3.8,3.0,39.0,34.0,2.0,111.0,24.0,23.0,49.0,1387.0
Ivo Rodrigues,Famalicao,7.0,https://static-img.zz.pt/jogadores/65/160865_20220803213253_ivo_rodrigues.png,119622.0,388532.0,7.0,3.8,33.0,105.0,31.0,151.0,3.1,2.0,45.0,91.0,9.0,290.0,58.0,9.0,72.0,2369.0
Bilel Aouacheria,Gil-Vicente,7.0,https://static-img.zz.pt/jogadores/72/416972_20230227191302_bilel_aouacheria.png,345380.0,566403.0,1.0,0.7,5.0,13.0,7.0,22.0,1.2,1.0,24.0,25.0,3.0,73.0,21.0,10.0,25.0,747.0
André Vidigal,Maritimo,7.0,https://static-img.zz.pt/jogadores/15/474115_20220810204009_andre_vidigal.png,361831.0,819916.0,0.0,1.6,26.0,28.0,28.0,70.0,8.2,8.0,68.0,63.0,7.0,183.0,54.0,14.0,73.0,2572.0
Nigel Thomas,Pacos-de-Ferreira,7.0,https://static-img.zz.pt/jogadores/11/641211_20220808235514_nigel_thomas.jpg,444941.0,1012783.0,1.0,2.6,27.0,10.0,15.0,35.0,3.2,4.0,51.0,71.0,2.0,139.0,46.0,12.0,74.0,2027.0
Gabriel Veron,Porto,7.0,https://static-img.zz.pt/jogadores/59/635259_20220817115425_gabriel_veron.png,388685.0,1106898.0,2.0,2.0,9.0,6.0,5.0,16.0,1.3,0.0,16.0,23.0,5.0,47.0,9.0,7.0,19.0,405.0
