id,eventType,teamId,playerId,playerName,x,y,min,minAdded,isBlocked,isOnTarget,blockedX,blockedY,goalCrossedY,goalCrossedZ,expectedGoals,expectedGoalsOnTarget,shotType,situation,period,isOwnGoal,onGoalShot,firstName,lastName,teamColor,name,homeTeam,awayTeam,round,shortName,fullName
2451692877,AttemptSaved,10212,1075457,Jesus Ramirez,92.0999984741211,31.559999418258663,77,,True,True,94.96491227930001,32.24625,34.533750000000005,1.2199999940000001,0.0650344789028167,,RightFoot,RegularPlay,SecondHalf,False,"{'x': 0.8587962962962951, 'y': 0.32275132116402117, 'zoomRatio': 1}",Jesus,Ramirez,#003010,Maritimo,Maritimo,Portimonense,4,,
2451692883,AttemptSaved,10212,1285327,Luciano Vega,90.5,31.40749883651733,77,,True,True,93.1,32.09375,35.22000000000001,1.2199999940000001,0.1225356757640838,,RightFoot,RegularPlay,SecondHalf,False,"{'x': 0.6772486772486757, 'y': 0.32275132116402117, 'zoomRatio': 1}",Luciano,Vega,#003010,Maritimo,Maritimo,Portimonense,4,,
2451696907,Miss,10212,1285327,Luciano Vega,91.5,30.316,82,,False,False,103.6724137932,40.46952381,43.16,0.5329473658000001,0.0300827324390411,,Header,RegularPlay,SecondHalf,False,"{'x': 0, 'y': 0.058182026834061165, 'zoomRatio': 0.41266375545851547}",Luciano,Vega,#003010,Maritimo,Maritimo,Portimonense,4,,
2451698043,AttemptSaved,10212,737814,Xadas,75.95290918626887,48.13452442837426,83,,False,True,101.9655172416,35.22000000000001,35.75375,0.44947368200000004,0.0087997019290924,0.0691,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 0.5360449735449745, 'y': 0.11890838148148149, 'zoomRatio': 1}",,Xadas,#003010,Maritimo,Maritimo,Portimonense,4,,
2451700533,Miss,10212,579808,Joel Tagueu,96.4122807008,40.049285715,86,,False,False,99.1140350876,32.779999999999994,17.2030573264,0.2696842092,0.0610616207122802,,Header,SetPiece,SecondHalf,False,"{'x': 2, 'y': 0.016055553349233406, 'zoomRatio': 0.22504095378863687}",Joel,Tagueu,#003010,Maritimo,Maritimo,Portimonense,4,,
2451702299,Miss,10212,579808,Joel Tagueu,96.4122807008,37.768000091552736,88,,False,False,,,37.43125000000001,3.8547586248,0.099751204252243,,Header,FromCorner,SecondHalf,False,"{'x': 0.3971582270134758, 'y': 0.6772486772486772, 'zoomRatio': 0.6641142154867928}",Joel,Tagueu,#003010,Maritimo,Maritimo,Portimonense,4,,
2451707125,AttemptSaved,9765,562961,Bryan Rochez,97.76315936653928,33.46624941825866,90,4.0,False,True,100.8275862072,33.8475,35.83,1.0979999945999999,0.4209074079990387,0.5529999999999999,Header,SetPiece,SecondHalf,False,"{'x': 0.5158730158730164, 'y': 0.29047618904761907, 'zoomRatio': 1}",Bryan,Rochez,#000000,Portimonense,Maritimo,Portimonense,4,,
2451710055,AttemptSaved,9765,1299645,Klismahn,96.3157909450393,34.07624883651734,90,8.0,True,True,99.50000000040001,33.31375,34.838750000000005,1.2199999940000001,0.2736508250236511,,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 0.7781084656084645, 'y': 0.32275132116402117, 'zoomRatio': 1}",,Klismahn,#000000,Portimonense,Maritimo,Portimonense,4,,
2451748839,AttemptSaved,8613,1052464,Bruno Lourenco,92.6999969482422,45.54216453201286,11,,True,True,94.96491227930001,44.2810191037,31.78875,1.2199999940000001,0.0310710966587066,,RightFoot,FromCorner,FirstHalf,False,"{'x': 1.5849867724867723, 'y': 0.32275132116402117, 'zoomRatio': 1}",Bruno,Lourenco,#000000,Boavista,Boavista,Benfica,4,,
2451753481,Miss,9772,940087,Goncalo Ramos,98.43859501856069,36.592501163482666,14,,False,False,103.57758620700001,6.624834127100001,5.3785782022,0.44305262939999995,0.1899634301662445,,Header,RegularPlay,FirstHalf,False,"{'x': 2, 'y': 0.015479756125674217, 'zoomRatio': 0.13206891071674687}",Goncalo,Ramos,#C00001,Benfica,Boavista,Benfica,4,,
2451758535,Miss,9772,1137705,Enzo Fernandez,73.02475556553443,32.62750058174133,19,,False,False,,,27.362380952,1.0723157842,0.0187002122402191,,RightFoot,RegularPlay,FirstHalf,False,"{'x': 2, 'y': 0.16155126958108598, 'zoomRatio': 0.5694813113956819}",Enzo,Fernandez,#C00001,Benfica,Boavista,Benfica,4,,
2451759765,AttemptSaved,9772,300916,Joao Mário,80.00728499133113,42.52406161785126,20,,True,True,85.4941176464,41.141904761999996,34.1525,1.2199999940000001,0.0325551927089691,,RightFoot,RegularPlay,FirstHalf,False,"{'x': 0.9596560846560838, 'y': 0.32275132116402117, 'zoomRatio': 1}",Joao,Mário,#C00001,Benfica,Boavista,Benfica,4,,
2451795217,AttemptSaved,9772,1292092,Antonio Silva,101.96552013550829,35.90625,21,,False,True,102.8189655174,35.3725,33.161249999999995,1.6245263078,0.2595806121826172,0.8588,Header,FromCorner,FirstHalf,False,"{'x': 1.2218915343915355, 'y': 0.42976886449735446, 'zoomRatio': 1}",Antonio,Silva,#C00001,Benfica,Boavista,Benfica,4,,
