id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,cardType,isGoal,isOwnGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2545990985.0,28.0,2.0,15.0,2008,5.04,34.136,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Successful,"['Zone', 'Defensive', 'OppositeRelatedEvent']","[197, 200]",False,363078.0,,,,,,,,,,,,,1.0,Paulo Vítor,,Famalicao,Chaves,
2545990975.0,26.0,2.0,15.0,935,99.96000000000001,33.864,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Unsuccessful,"['OppositeRelatedEvent', 'Zone', 'Offensive']","[198, 199]",False,402207.0,,,,,,,,,,,,,,,,Famalicao,Chaves,
2545991005.0,29.0,2.0,15.0,2008,3.2550000000000003,32.776,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Punch,Successful,"['OppositeRelatedEvent', 'Length', 'PassEndX', 'PassEndY', 'Angle']","[91, 94, 95, 206, 215]",True,363078.0,29.505000000000003,15.844000000000001,,,,,,,,,,,1.0,Paulo Vítor,,Famalicao,Chaves,
2545991051.0,27.0,2.0,18.0,935,74.44500000000001,53.17600000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'PassEndY', 'StandingSave', 'HeadPass', 'Angle', 'Length']","[91, 119, 117, 30, 139, 35, 38, 216, 218]",True,298175.0,64.05,44.47200000000001,,,,,,,,,,,,,False,Famalicao,Chaves,-0.004663889999999997
2545991065.0,28.0,2.0,20.0,935,65.415,45.288,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'StandingSave', 'Zone', 'Length', 'PassEndY', 'Longball']","[91, 117, 127, 35, 37, 215, 218]",True,119622.0,29.19,51.136,,,,,,,,,,,,,False,Famalicao,Chaves,-0.008756420000000003
2545991205.0,29.0,2.0,36.0,935,16.17,42.908,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'PassEndX', 'StandingSave', 'Length', 'Zone']","[91, 117, 30, 36, 37, 215, 218]",True,400826.0,27.51,43.316,,,,,,,,,,,,,False,Famalicao,Chaves,0.0002355900000000008
2545991227.0,30.0,2.0,37.0,935,27.51,44.132000000000005,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'PassEndY', 'PassEndX', 'Angle', 'Zone']","[91, 117, 30, 36, 37, 215, 218]",True,402207.0,32.025,53.992000000000004,,,,,,,,,,,,,False,Famalicao,Chaves,-0.0005097200000000017
2545991243.0,31.0,2.0,39.0,935,32.025,53.992000000000004,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'Angle', 'Zone', 'Length', 'PassEndX']","[91, 117, 30, 35, 38, 215, 218]",True,298175.0,25.62,43.724000000000004,,,,,,,,,,,,,False,Famalicao,Chaves,-0.0005818599999999983
2545991289.0,32.0,2.0,41.0,935,24.675,43.52,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'Angle', 'PassEndY', 'Length', 'StandingSave']","[91, 117, 30, 35, 38, 215, 218]",True,402207.0,5.985,32.096000000000004,,,,,,,,,,,,,False,Famalicao,Chaves,-0.0006024800000000007
2545991315.0,33.0,2.0,44.0,935,5.88,31.688000000000002,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'Chipped', 'Length', 'PassEndY', 'Longball', 'Zone', 'PassEndX']","[91, 117, 124, 127, 36, 38, 215, 218]",True,400826.0,31.395,5.848,,,,,,,,,,,,,False,Famalicao,Chaves,0.00036602999999999983
