id,eventId,minute,teamId,playerId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,second,endX,endY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,blockedX,blockedY,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2379186585.0,18.0,1.0,264.0,357533.0,39.165,17.136,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'Length', 'StandingSave', 'PassEndY', 'Angle', 'Zone']","[91, 118, 120, 29, 36, 38, 216, 218]",True,27.0,44.415,4.556,,,,,,,,,,,False,Maritimo,Estoril,-0.0002082999999999998
2379186531.0,13.0,1.0,2188.0,105928.0,61.32,62.15200000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Interception,Successful,"['Zone', 'StandingSave']","[91, 101, 56]",True,29.0,,,,,,,,,,,31.0,Joãozinho,,Maritimo,Estoril,
2379186719.0,19.0,1.0,264.0,422005.0,35.17500000000001,20.06,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'Zone', 'PassEndX', 'PassEndY', 'Angle']","[91, 117, 30, 35, 37, 215, 218]",True,32.0,29.50500000000001,41.956,,,,,,,,,,,False,Maritimo,Estoril,0.0002191399999999996
2379186803.0,20.0,1.0,264.0,137058.0,28.455000000000002,40.596,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'StandingSave', 'PassEndY', 'PassEndX', 'Angle']","[91, 117, 30, 36, 37, 215, 218]",True,36.0,29.400000000000002,56.98400000000001,,,,,,,,,,,False,Maritimo,Estoril,-0.0007288599999999996
2379186919.0,21.0,1.0,264.0,422003.0,31.71,53.992,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'PassEndY', 'Angle', 'Length', 'PassEndX']","[91, 117, 30, 36, 37, 216, 218]",True,38.0,39.27000000000001,56.03200000000001,,,,,,,,,,,False,Maritimo,Estoril,0.0015522899999999996
2379186861.0,14.0,1.0,2188.0,322665.0,61.53,17.816000000000003,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Challenge,Unsuccessful,"['Defensive', 'OppositeRelatedEvent', 'Zone']",[55],False,41.0,,,,,,,,,,,92.0,António Xavier,,Maritimo,Estoril,
2379186939.0,22.0,1.0,264.0,329366.0,43.47,50.184000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Successful,"['Zone', 'Offensive', 'StandingSave', 'OppositeRelatedEvent']","[91, 54]",True,41.0,,,,,,,,,,,,,,Maritimo,Estoril,
2379186959.0,23.0,1.0,264.0,329366.0,43.995,47.12400000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'PassEndY', 'Angle', 'StandingSave', 'PassEndX']","[91, 117, 30, 35, 38, 215, 218]",True,42.0,30.87,45.492,,,,,,,,,,,False,Maritimo,Estoril,-0.0015871199999999992
2379187013.0,24.0,1.0,264.0,137058.0,31.815,45.764000000000024,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'StandingSave', 'Zone', 'Chipped', 'PassEndY', 'Angle', 'Length', 'Longball']","[91, 119, 117, 124, 127, 36, 38, 216, 218]",True,45.0,61.74,3.74,,,,,,,,,,,True,Maritimo,Estoril,0.006345979999999999
2379187043.0,25.0,1.0,264.0,101952.0,61.425000000000004,4.828,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'HeadPass', 'PassEndY', 'Length', 'Angle', 'Zone']","[91, 119, 117, 30, 139, 35, 37, 216, 218]",True,48.0,60.375,11.56,,,,,,,,,,,False,Maritimo,Estoril,0.001382170000000002
