id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isShot,blockedX,blockedY,relatedEventId,relatedPlayerId,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2331427213.0,18.0,1.0,22.0,264.0,44.625,2.72,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'PassEndX', 'HeadPass', 'PassEndY', 'Angle']","[90, 116, 29, 138, 34, 37, 214, 217]",True,403771.0,34.02000000000001,1.7680000000000002,,,,,,,,,,,False,Famalicao,Maritimo,-0.0014860800000000007
2331427287.0,19.0,1.0,26.0,264.0,38.115,1.972,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'PassEndX', 'PassEndY', 'StandingSave', 'Chipped', 'Length', 'Zone']","[90, 119, 28, 123, 35, 36, 215, 217]",True,101952.0,67.2,5.78,,,,,,,,,,,True,Famalicao,Maritimo,0.0061879299999999995
2331427479.0,26.0,1.0,28.0,935.0,43.89,57.596,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Longball', 'StandingSave', 'PassEndY', 'Length', 'Zone', 'Angle', 'PassEndX']","[90, 119, 127, 35, 36, 215, 217]",True,422248.0,63.63,68.0,,,,,,,,,43.0,Alexandre Penetra,False,Famalicao,Maritimo,0.00530341
2331427795.0,21.0,1.0,38.0,264.0,38.85,0.0,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'Angle', 'PassEndX', 'PassEndY', 'ThrowIn']","[90, 211, 35, 36, 215]",True,101952.0,41.475,4.964,,,,,,,,,,,False,Famalicao,Maritimo,0.0
2331427809.0,22.0,1.0,39.0,264.0,41.475,4.964,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'Angle', 'PassEndX', 'StandingSave', 'PassEndY']","[90, 116, 29, 34, 37, 215, 217]",True,422003.0,37.905,1.904,,,,,,,,,,,False,Famalicao,Maritimo,0.0
2331428063.0,23.0,1.0,41.0,264.0,37.905,1.904,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'Angle', 'StandingSave', 'Length', 'PassEndX']","[90, 116, 29, 34, 36, 214, 217]",True,101952.0,23.205000000000002,7.072000000000001,,,,,,,,,,,False,Famalicao,Maritimo,-0.0028141300000000015
2331428197.0,24.0,1.0,48.0,264.0,30.765,12.036,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'StandingSave', 'PassEndX', 'Length', 'Zone']","[90, 116, 29, 34, 36, 214, 217]",True,137058.0,10.920000000000005,34.0,,,,,,,,,,,False,Famalicao,Maritimo,-0.0011843400000000007
2331428277.0,25.0,1.0,52.0,264.0,11.55,32.708000000000006,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'StandingSave', 'Longball', 'Angle', 'Zone', 'Chipped', 'Length', 'PassEndY']","[90, 117, 119, 123, 127, 35, 36, 214, 217]",True,74433.0,29.71500000000001,68.0,,,,,,,,,,,False,Famalicao,Maritimo,-0.0010506300000000003
2331428555.0,29.0,1.0,58.0,935.0,74.655,0.0,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'Zone', 'Length', 'PassEndY', 'ThrowIn']","[90, 211, 35, 36, 216]",True,96207.0,79.905,15.844,,,,,,,,,90.0,Diogo Figueiras,True,Famalicao,Maritimo,0.008311429999999998
2331428681.0,30.0,2.0,0.0,935.0,79.905,15.844,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Length', 'OtherBodyPart', 'Angle', 'LayOff', 'PassEndY', 'Zone']","[90, 118, 116, 29, 204, 34, 37, 216, 217]",True,300483.0,73.5,14.824000000000002,,,,,,,,,17.0,Simon Banza,False,Famalicao,Maritimo,-0.00551751
,,2.0,0.0,,73.5,14.824000000000002,,,Carry,,,,,119622.0,75.28500000000001,12.784,,,,,,,,,7.0,Ivo Rodrigues,False,Famalicao,Maritimo,0.0
2331428691.0,31.0,2.0,2.0,935.0,75.28500000000001,12.784,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['StandingSave', 'Zone']","[90, 68]",True,119622.0,,,,,,,,,,,7.0,Ivo Rodrigues,,Famalicao,Maritimo,
