id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,cardType,blockedX,blockedY,isGoal,isOwnGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2366575159.0,21.0,2.0,5.0,2899.0,84.94500000000001,37.33200000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'Zone', 'PassEndY', 'PassEndX', 'Length', 'HeadPass']","[91, 120, 29, 139, 35, 38, 217, 218]",True,425474.0,80.85000000000002,25.84000000000001,,,,,,,,,,,25.0,Mohamed Aidara,False,Arouca,Vizela,0.0
2366576351.0,62.0,2.0,7.0,5948.0,24.675,46.92,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'HeadPass', 'Zone', 'Angle', 'Length']","[91, 117, 30, 139, 36, 37, 215, 218]",True,351703.0,27.09000000000001,51.544000000000004,,,,,,,,,,,,,False,Arouca,Vizela,-0.0005892200000000014
2366575177.0,22.0,2.0,8.0,2899.0,78.75,18.156,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BlockedPass,Successful,"['Defensive', 'StandingSave', 'OppositeRelatedEvent', 'Zone']","[91, 60]",True,322742.0,,,,,,,,,,,,,20.0,Samu,,Arouca,Vizela,
2366576321.0,61.0,2.0,8.0,5948.0,27.93000000000001,51.272000000000006,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'PassEndX', 'Offensive', 'Length', 'OppositeRelatedEvent', 'StandingSave', 'Angle', 'PassEndY']","[91, 118, 120, 29, 36, 38, 215, 218]",True,322648.0,28.98000000000001,51.136,,,,,,,,,,,,,False,Arouca,Vizela,0.0
2366575183.0,24.0,2.0,9.0,5948.0,26.565,45.900000000000006,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,83058.0,,,,,,,,,,,,,,,,Arouca,Vizela,
2366575189.0,23.0,2.0,9.0,2899.0,78.96000000000001,23.052,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['Zone', 'StandingSave']",[91],True,322742.0,,,,,,,,,,,,,20.0,Samu,,Arouca,Vizela,
2366575187.0,25.0,2.0,9.0,5948.0,26.565,45.90000000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'PassEndY', 'PassEndX', 'Angle', 'Zone', 'Length']","[91, 118, 120, 29, 36, 37, 215, 218]",True,83058.0,33.915,49.028000000000006,,,,,,,,,,,,,False,Arouca,Vizela,0.00109158
2366575201.0,26.0,2.0,10.0,5948.0,30.975,46.172,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['Zone', 'StandingSave']",[91],True,326486.0,,,,,,,,,,,,,,,,Arouca,Vizela,
2366587789.0,401.0,2.0,11.0,2899.0,81.79500000000003,22.848000000000003,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'StandingSave', 'Angle', 'PassEndY', 'Length', 'Zone']","[91, 119, 117, 30, 205, 35, 38, 217, 218]",True,331637.0,77.07000000000001,20.332000000000004,,,,,,,,,,,3.0,Bruno Wilson,False,Arouca,Vizela,-0.004429620000000002
2366575215.0,25.0,2.0,11.0,2899.0,78.435,22.236000000000004,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'PassEndY', 'Offensive', 'Length', 'PassEndX', 'Zone', 'Angle', 'OppositeRelatedEvent']","[91, 120, 29, 36, 38, 217, 218]",True,344143.0,81.58500000000001,22.032,,,,,,,,,,,22.0,Kévin Zohi,False,Arouca,Vizela,0.004429620000000002
,,2.0,11.0,,77.07000000000001,20.332000000000004,,,Carry,,,,,344143.0,78.435,22.236000000000004,,,,,,,,,,,22.0,Kévin Zohi,False,Arouca,Vizela,0.0
2366575207.0,27.0,2.0,12.0,5948.0,28.980000000000004,47.39600000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BlockedPass,Successful,"['OppositeRelatedEvent', 'Zone', 'StandingSave', 'Defensive']","[91, 60]",True,326486.0,,,,,,,,,,,,,,,,Arouca,Vizela,
