id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2379843965.0,20.0,1.0,5.0,2899.0,41.37,56.1,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,421844.0,,,,,,,,,,,,19.0,Alex Méndez,,Boavista,Vizela,
2379844019.0,21.0,1.0,5.0,2899.0,41.37,56.1,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Length', 'Zone', 'Angle', 'StandingSave', 'PassEndY']","[91, 117, 30, 36, 38, 216, 218]",True,421844.0,43.68000000000002,41.752,,,,,,,,,,19.0,Alex Méndez,False,Boavista,Vizela,0.0004792700000000004
,,1.0,5.0,,43.68000000000002,41.752,,,Carry,,,,,143050.0,58.800000000000004,42.364000000000004,,,,,,,,,,8.0,Raphael Guzzo,True,Boavista,Vizela,0.004268819999999998
2379844025.0,22.0,1.0,6.0,2899.0,58.8,42.364,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['Zone', 'StandingSave']","[91, 69]",True,143050.0,,,,,,,,,,,,8.0,Raphael Guzzo,,Boavista,Vizela,
2379844081.0,22.0,1.0,7.0,122.0,45.88500000000001,26.38400000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'PassEndX', 'Length', 'StandingSave', 'PassEndY']","[91, 117, 30, 35, 37, 215, 218]",True,423076.0,32.655,38.28400000000001,,,,,,,,,,,,False,Boavista,Vizela,-0.0035222199999999995
2379844091.0,23.0,1.0,9.0,122.0,26.565,38.89600000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,135635.0,,,,,,,,,,,,,,,Boavista,Vizela,
2379844145.0,24.0,1.0,10.0,122.0,26.565,38.89600000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Angle', 'StandingSave', 'PassEndY', 'Length', 'Zone']","[91, 117, 30, 35, 38, 215, 218]",True,135635.0,9.45,28.832000000000004,,,,,,,,,,,,False,Boavista,Vizela,-0.0007549299999999991
2379844183.0,25.0,1.0,17.0,122.0,11.445,26.588000000000008,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'Angle', 'PassEndX', 'Longball', 'PassEndY', 'StandingSave', 'Zone', 'Chipped']","[91, 120, 124, 128, 36, 38, 216, 218]",True,35211.0,57.435,11.764,,,,,,,,,,,,True,Boavista,Vizela,0.006707570000000001
2379844219.0,23.0,1.0,20.0,2899.0,41.895,61.54000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'PassEndY', 'HeadPass', 'Zone', 'Angle']","[91, 119, 117, 30, 139, 36, 38, 216, 218]",True,124107.0,62.685,47.94000000000001,,,,,,,,,,37.0,Richard Ofori,True,Boavista,Vizela,0.005593289999999999
2379844237.0,24.0,1.0,21.0,2899.0,62.685,47.94000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Length', 'Zone', 'PassEndY', 'StandingSave', 'Angle']","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,36137.0,70.98,57.46,,,,,,,,,,6.0,Claudemir,False,Boavista,Vizela,0.0018475100000000001
,,1.0,21.0,,70.98,57.46,,,Carry,,,,,421851.0,65.52,58.54800000000002,,,,,,,,,,79.0,Nuno Moreira,False,Boavista,Vizela,0.0
2379844303.0,26.0,1.0,22.0,2899.0,65.52,58.548,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,421851.0,,,,,,,,,,,,79.0,Nuno Moreira,,Boavista,Vizela,
2379844289.0,25.0,1.0,22.0,2899.0,70.98,57.46,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Angle', 'Zone', 'Length', 'StandingSave', 'PassEndY']","[91, 119, 117, 30, 35, 37, 216, 218]",True,421851.0,64.995,59.90800000000002,,,,,,,,,,79.0,Nuno Moreira,False,Boavista,Vizela,-0.0012528699999999997
,,1.0,22.0,,64.995,59.90800000000002,,,Carry,,,,,421844.0,70.77000000000001,59.56800000000002,,,,,,,,,,19.0,Alex Méndez,False,Boavista,Vizela,0.0
,,1.0,22.0,,65.52,58.54800000000002,,,Carry,,,,,421851.0,70.98,57.46,,,,,,,,,,79.0,Nuno Moreira,True,Boavista,Vizela,0.0
2379844385.0,27.0,1.0,28.0,2899.0,70.77000000000001,59.56800000000002,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'Zone', 'PassEndY', 'Angle', 'PassEndX']","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,421844.0,81.90000000000002,63.51200000000001,,,,,,,,,,19.0,Alex Méndez,False,Boavista,Vizela,0.01011252
,,1.0,28.0,,81.90000000000002,63.51200000000001,,,Carry,,,,,421851.0,95.655,62.49200000000001,,,,,,,,,,79.0,Nuno Moreira,True,Boavista,Vizela,0.007287600000000002
