id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isOwnGoal,isGoal,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2362015243.0,25.0,1.0,52.0,297.0,89.98500000000001,40.120000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Challenge,Unsuccessful,"['Zone', 'OppositeRelatedEvent', 'Offensive']",[55],False,384430.0,,,,,,,,,,,,,,,,Portimonense,Porto,
2362015317.0,14.0,1.0,54.0,1463.0,19.425,34.34000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Zone', 'Chipped', 'Angle', 'Length', 'PassEndX', 'StandingSave', 'Longball']","[91, 117, 124, 127, 36, 37, 216, 218]",True,310029.0,41.79,62.83200000000001,,,,,,,,,,,94.0,Samuel,False,Portimonense,Porto,0.0004354500000000004
,,1.0,54.0,,41.79,62.83200000000001,,,Carry,,,,,373033.0,42.42,64.736,,,,,,,,,,,5.0,Fali Candé,False,Portimonense,Porto,0.0
2362015347.0,15.0,1.0,59.0,1463.0,42.42,64.736,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Length', 'StandingSave', 'PassEndY', 'Angle', 'Zone']","[91, 117, 30, 35, 38, 215, 218]",True,373033.0,21.21,57.25600000000001,,,,,,,,,,,5.0,Fali Candé,False,Portimonense,Porto,-0.0018388500000000012
2362015375.0,16.0,2.0,2.0,1463.0,21.21,57.120000000000005,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'Angle', 'PassEndY', 'StandingSave', 'Length']","[91, 117, 30, 35, 38, 215, 218]",True,342696.0,12.600000000000001,45.83200000000001,,,,,,,,,,,3.0,Lucas Possignolo,False,Portimonense,Porto,0.0003536300000000006
,,2.0,2.0,,12.600000000000001,45.83200000000001,,,Carry,,,,,310029.0,11.55,41.68400000000001,,,,,,,,,,,94.0,Samuel,False,Portimonense,Porto,0.0010497700000000002
2362015423.0,17.0,2.0,4.0,1463.0,11.55,41.68400000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'PassEndY', 'Zone', 'Longball', 'Angle', 'PassEndX', 'Length']","[91, 120, 128, 36, 37, 216, 218]",True,310029.0,65.83500000000001,51.952000000000005,,,,,,,,,,,94.0,Samuel,True,Portimonense,Porto,0.00787625
2362015439.0,26.0,2.0,7.0,297.0,32.445,15.096,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'Zone', 'Length', 'StandingSave', 'HeadPass', 'PassEndY', 'PassEndX']","[91, 120, 29, 139, 36, 37, 216, 218]",True,104368.0,57.12,21.42,,,,,,,,,,,,,True,Portimonense,Porto,0.006261059999999999
2362015463.0,18.0,2.0,9.0,1463.0,49.35,48.48400000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'HeadPass', 'PassEndY', 'PassEndX', 'StandingSave', 'Length', 'Zone']","[91, 120, 29, 139, 36, 38, 216, 218]",True,342698.0,57.12,33.184,,,,,,,,,,,21.0,Pedro Sá,False,Portimonense,Porto,0.0026039999999999987
2362015491.0,27.0,2.0,11.0,297.0,47.88,35.90400000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'Zone', 'HeadPass', 'PassEndX', 'Length']","[91, 117, 30, 139, 35, 38, 216, 218]",True,377168.0,47.25,23.868,,,,,,,,,,,,,False,Portimonense,Porto,-0.0005547
2362015495.0,28.0,2.0,12.0,297.0,47.355,23.528,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,114301.0,,,,,,,,,,,,,,,,Portimonense,Porto,
