id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,isGoal,blockedX,blockedY,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2332715057.0,19.0,1.0,20.0,299.0,35.805,31.28,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndX', 'Angle', 'Length', 'Zone', 'PassEndY']","[90, 116, 29, 35, 37, 215, 217]",True,75691.0,36.855,13.192000000000005,,,,,,,,,,30.0,Nicolás Otamendi,False,Benfica,Boavista,-0.0007288599999999996
2332715065.0,20.0,1.0,22.0,299.0,36.855,13.192000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'Length', 'StandingSave', 'Angle', 'PassEndY']","[90, 118, 116, 29, 35, 37, 215, 217]",True,300640.0,55.964999999999996,12.24,,,,,,,,,,4.0,Lucas Veríssimo,True,Benfica,Boavista,0.003970940000000001
2332715067.0,21.0,1.0,24.0,299.0,56.07,12.24,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'PassEndY', 'StandingSave', 'Angle', 'Length', 'PassEndX']","[90, 119, 28, 35, 37, 215, 217]",True,135127.0,56.595,6.392,,,,,,,,,,27.0,Rafa,False,Benfica,Boavista,-0.001382170000000002
2332715073.0,11.0,1.0,24.0,122.0,45.255,62.62800000000002,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'PassEndX', 'StandingSave', 'Angle', 'Zone']","[90, 118, 116, 29, 35, 37, 215, 217]",True,400992.0,64.68,52.496,,,,,,,,,,,,True,Benfica,Boavista,0.007440799999999999
2332715089.0,13.0,1.0,25.0,122.0,64.68,52.496,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[92],False,280768.0,,,,,,,,,,,,,,,Benfica,Boavista,
2332715081.0,12.0,1.0,26.0,122.0,65.52,52.904,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Dispossessed,Successful,"['Zone', 'Offensive', 'OppositeRelatedEvent']","[90, 69]",True,280768.0,,,,,,,,,,,,,,,Benfica,Boavista,
2332715079.0,22.0,1.0,26.0,299.0,39.48,15.096,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Successful,"['OppositeRelatedEvent', 'Zone', 'Defensive', 'StandingSave']","[90, 142]",True,135127.0,,,,,,,,,,,,27.0,Rafa,,Benfica,Boavista,
,,1.0,26.0,,39.48,15.096,,,Carry,,,,,135127.0,40.95000000000001,10.132,,,,,,,,,,27.0,Rafa,False,Benfica,Boavista,0.0
2332715085.0,23.0,1.0,27.0,299.0,40.95000000000001,10.132,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Zone', 'Length', 'PassEndY', 'PassEndX', 'Angle']","[90, 116, 29, 35, 36, 215, 217]",True,135127.0,42.315,13.464000000000004,,,,,,,,,,27.0,Rafa,False,Benfica,Boavista,0.0
,,1.0,27.0,,42.315,13.464000000000004,,,Carry,,,,,142318.0,39.375,17.81600000000001,,,,,,,,,,28.0,Julian Weigl,False,Benfica,Boavista,0.0005445499999999995
2332715101.0,24.0,1.0,28.0,299.0,39.375,17.81600000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'Angle', 'PassEndY', 'Length', 'StandingSave']","[90, 116, 29, 34, 37, 214, 217]",True,142318.0,30.55500000000001,15.708000000000002,,,,,,,,,,28.0,Julian Weigl,False,Benfica,Boavista,-0.002096839999999999
2332715105.0,25.0,1.0,30.0,299.0,30.55500000000001,15.708000000000002,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Angle', 'Length', 'StandingSave', 'Zone', 'PassEndY']","[90, 116, 29, 34, 36, 214, 217]",True,300640.0,12.495000000000001,25.772000000000002,,,,,,,,,,4.0,Lucas Veríssimo,False,Benfica,Boavista,0.0002323199999999994
2332715113.0,26.0,1.0,33.0,299.0,12.705,25.636000000000003,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'Length', 'Angle', 'StandingSave', 'PassEndY']","[90, 116, 29, 35, 37, 214, 217]",True,110273.0,22.26,12.988,,,,,,,,,,99.0,Odysseas Vlachodimos,False,Benfica,Boavista,-0.0014034000000000008
2332715117.0,27.0,1.0,36.0,299.0,22.365000000000002,13.192000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Angle', 'Length', 'PassEndY', 'PassEndX', 'StandingSave']","[90, 116, 29, 35, 36, 214, 217]",True,300640.0,26.775000000000002,19.176000000000002,,,,,,,,,,4.0,Lucas Veríssimo,False,Benfica,Boavista,0.0005892200000000014
2332715119.0,28.0,1.0,37.0,299.0,26.669999999999998,19.176000000000002,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'Angle', 'Length', 'LayOff', 'PassEndY', 'StandingSave']","[90, 116, 29, 34, 37, 214, 217]",True,142318.0,15.855,18.632,,,,,,,,,,28.0,Julian Weigl,False,Benfica,Boavista,-0.0002355900000000008
2332715133.0,29.0,1.0,38.0,299.0,15.435,18.632,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'StandingSave', 'PassEndX', 'Length', 'Zone']","[90, 116, 29, 34, 36, 214, 217]",True,300640.0,5.460000000000003,28.492000000000004,,,,,,,,,,4.0,Lucas Veríssimo,False,Benfica,Boavista,-0.0003668899999999999
,,1.0,38.0,,5.460000000000003,28.492000000000004,,,Carry,,,,,110273.0,11.55,28.016000000000005,,,,,,,,,,99.0,Odysseas Vlachodimos,False,Benfica,Boavista,0.0
2332715171.0,30.0,1.0,42.0,299.0,11.55,28.016000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Longball', 'Angle', 'StandingSave', 'PassEndY', 'PassEndX', 'Chipped', 'Length', 'Zone']","[90, 118, 116, 123, 126, 35, 36, 215, 217]",True,110273.0,55.755,64.87200000000001,,,,,,,,,,99.0,Odysseas Vlachodimos,True,Benfica,Boavista,0.003908739999999999
,,1.0,42.0,,55.755,64.87200000000001,,,Carry,,,,,400828.0,51.03,62.016000000000005,,,,,,,,,,9.0,Darwin Núñez,False,Benfica,Boavista,-0.002252519999999999
2332715185.0,31.0,1.0,50.0,299.0,51.03,62.016000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'PassEndX', 'PassEndY', 'Length', 'Zone']","[90, 118, 116, 29, 35, 37, 215, 217]",True,400828.0,60.69,47.53200000000001,,,,,,,,,,9.0,Darwin Núñez,False,Benfica,Boavista,0.0043725199999999995
,,1.0,50.0,,60.69,47.53200000000001,,,Carry,,,,,281025.0,59.01000000000001,47.39600000000001,,,,,,,,,,15.0,Roman Yaremchuk,False,Benfica,Boavista,0.0
2332715203.0,32.0,1.0,52.0,299.0,59.01000000000001,47.39600000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'Angle', 'Zone', 'StandingSave', 'PassEndX']","[90, 116, 29, 34, 36, 215, 217]",True,281025.0,47.88,49.776,,,,,,,,,,15.0,Roman Yaremchuk,False,Benfica,Boavista,-0.0025646799999999997
,,1.0,52.0,,47.88,49.776,,,Carry,,,,,125476.0,42.63,33.52400000000001,,,,,,,,,,20.0,João Mário,False,Benfica,Boavista,-0.0016648199999999991
2332715211.0,33.0,1.0,58.0,299.0,42.63,33.52400000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'Zone', 'PassEndX', 'Angle', 'StandingSave']","[90, 116, 29, 34, 37, 215, 217]",True,125476.0,40.74,10.540000000000001,,,,,,,,,,20.0,João Mário,False,Benfica,Boavista,-0.0004792700000000004
2332715217.0,34.0,2.0,1.0,299.0,41.37,10.404000000000002,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'Angle', 'Length', 'Zone', 'PassEndY', 'PassEndX']","[90, 119, 28, 35, 37, 215, 217]",True,300640.0,64.575,8.568,,,,,,,,,,4.0,Lucas Veríssimo,True,Benfica,Boavista,0.006556279999999999
2332715237.0,15.0,2.0,2.0,122.0,34.965,51.952000000000005,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'StandingSave', 'Angle', 'Longball', 'PassEndX', 'Length', 'Zone']","[90, 119, 127, 35, 36, 215, 217]",True,423077.0,53.02500000000001,68.0,,,,,,,,,,,,False,Benfica,Boavista,0.0018885399999999993
2332715313.0,37.0,2.0,12.0,299.0,53.655,0.0,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Length', 'Zone', 'ThrowIn', 'Angle', 'PassEndY']","[90, 211, 34, 36, 215]",True,343029.0,42.525,3.196,,,,,,,,,,17.0,Diogo Gonçalves,False,Benfica,Boavista,-0.0012207699999999995
,,2.0,12.0,,42.525,3.196,,,Carry,,,,,300640.0,40.425,10.404000000000002,,,,,,,,,,4.0,Lucas Veríssimo,False,Benfica,Boavista,0.0008845199999999998
2332715319.0,38.0,2.0,14.0,299.0,40.425,10.404000000000002,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'Zone', 'PassEndX', 'StandingSave', 'Length']","[90, 116, 29, 34, 36, 215, 217]",True,300640.0,35.28,32.504,,,,,,,,,,4.0,Lucas Veríssimo,False,Benfica,Boavista,-0.00082343
,,2.0,14.0,,35.28,32.504,,,Carry,,,,,75691.0,34.65,35.02000000000001,,,,,,,,,,30.0,Nicolás Otamendi,False,Benfica,Boavista,0.0
2332715325.0,39.0,2.0,17.0,299.0,34.65,35.02000000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndX', 'Angle', 'Length', 'PassEndY', 'Zone']","[90, 116, 29, 35, 36, 215, 217]",True,75691.0,41.265,57.46,,,,,,,,,,30.0,Nicolás Otamendi,False,Benfica,Boavista,0.00082343
,,2.0,17.0,,41.265,57.46,,,Carry,,,,,21778.0,44.31,63.44400000000001,,,,,,,,,,5.0,Jan Vertonghen,False,Benfica,Boavista,-0.0008845199999999998
2332715331.0,40.0,2.0,20.0,299.0,44.31,63.44400000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'Length', 'Angle', 'Zone', 'StandingSave', 'PassEndY', 'Chipped']","[90, 119, 28, 123, 35, 37, 216, 217]",True,21778.0,75.075,62.22000000000001,,,,,,,,,,5.0,Jan Vertonghen,True,Benfica,Boavista,0.00995862
2332715347.0,17.0,2.0,22.0,122.0,42.21000000000001,4.964,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Interception,Successful,"['Head', 'Zone']","[90, 100, 55]",True,422313.0,,,,,,,,,,,,,,,Benfica,Boavista,
2332715397.0,42.0,2.0,33.0,299.0,74.55,68.0,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'PassEndX', 'Length', 'Angle', 'ThrowIn']","[90, 211, 34, 37, 215]",True,107252.0,67.30499999999999,57.66400000000001,,,,,,,,,,3.0,Alejandro Grimaldo,False,Benfica,Boavista,-0.0025178200000000005
,,2.0,33.0,,67.30499999999999,57.66400000000001,,,Carry,,,,,142318.0,70.56,57.868000000000016,,,,,,,,,,28.0,Julian Weigl,False,Benfica,Boavista,0.0
2332715409.0,43.0,2.0,35.0,299.0,70.56,57.868000000000016,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'PassEndY', 'Length', 'StandingSave', 'Zone']","[90, 118, 116, 29, 34, 36, 215, 217]",True,142318.0,58.905,60.58800000000002,,,,,,,,,,28.0,Julian Weigl,False,Benfica,Boavista,-0.0039675100000000005
,,2.0,35.0,,58.905,60.58800000000002,,,Carry,,,,,21778.0,58.800000000000004,58.88800000000002,,,,,,,,,,5.0,Jan Vertonghen,False,Benfica,Boavista,0.001382170000000002
2332715423.0,44.0,2.0,37.0,299.0,58.800000000000004,58.88800000000002,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'PassEndY', 'Zone', 'PassEndX', 'Angle']","[90, 118, 116, 29, 34, 37, 215, 217]",True,21778.0,53.97,42.568000000000005,,,,,,,,,,5.0,Jan Vertonghen,False,Benfica,Boavista,-0.0018268500000000014
