id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isOwnGoal,isGoal,isShot,relatedEventId,relatedPlayerId,blockedX,blockedY,shirtNo,name,progressive,homeTeam,awayTeam,xT
2360550213.0,241.0,2.0,5.0,292.0,37.905,65.41600000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['Zone', 'StandingSave']","[91, 69]",True,411126.0,,,,,,,,,,,,,,,Belenenses SAD,Benfica,
2360550275.0,486.0,2.0,5.0,299.0,67.095,2.584,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['StandingSave', 'Zone']",[91],True,114323.0,,,,,,,,,,,,22.0,Valentino Lazaro,,Belenenses SAD,Benfica,
2359939053.0,22.0,2.0,6.0,299.0,65.415,9.52,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,135127.0,,,,,,,,,,,,27.0,Rafa,,Belenenses SAD,Benfica,
2359939073.0,23.0,2.0,6.0,299.0,65.41500000000002,9.520000000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'PassEndX', 'Zone', 'StandingSave', 'PassEndY']","[91, 117, 30, 35, 37, 216, 218]",True,135127.0,50.82,12.172000000000004,,,,,,,,,,27.0,Rafa,False,Belenenses SAD,Benfica,-0.004858069999999999
2359939089.0,24.0,2.0,8.0,299.0,50.714999999999996,12.172000000000004,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Zone', 'StandingSave', 'Length', 'PassEndX', 'Angle']","[91, 117, 30, 35, 37, 216, 218]",True,106151.0,49.14,34.272,,,,,,,,,,34.0,André Almeida,False,Belenenses SAD,Benfica,0.0010005799999999992
2359939121.0,25.0,2.0,11.0,299.0,49.45500000000001,35.02000000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'StandingSave', 'PassEndY', 'Angle', 'Zone']","[91, 119, 117, 30, 36, 37, 216, 218]",True,21778.0,60.58500000000002,41.412,,,,,,,,,,5.0,Jan Vertonghen,False,Belenenses SAD,Benfica,0.0020492999999999987
,,2.0,11.0,,60.58500000000002,41.412,,,Carry,,,,,125476.0,66.57000000000001,48.348000000000006,,,,,,,,,,20.0,João Mário,False,Belenenses SAD,Benfica,0.002456040000000003
2359939131.0,26.0,2.0,15.0,299.0,66.57000000000001,48.348000000000006,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'Length', 'PassEndY', 'Angle', 'PassEndX']","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,125476.0,82.005,63.58000000000001,,,,,,,,,,20.0,João Mário,False,Belenenses SAD,Benfica,0.008211799999999998
,,2.0,15.0,,82.005,63.58000000000001,,,Carry,,,,,107252.0,79.59,64.87200000000001,,,,,,,,,,3.0,Alejandro Grimaldo,False,Belenenses SAD,Benfica,-0.00634183
2359939141.0,27.0,2.0,18.0,299.0,79.59,64.87200000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'StandingSave', 'Zone', 'Angle', 'Length']","[91, 119, 117, 30, 35, 38, 216, 218]",True,107252.0,69.825,59.976000000000006,,,,,,,,,,3.0,Alejandro Grimaldo,False,Belenenses SAD,Benfica,-0.01011252
,,2.0,18.0,,69.825,59.976000000000006,,,Carry,,,,,125476.0,70.14,49.980000000000004,,,,,,,,,,20.0,João Mário,True,Belenenses SAD,Benfica,0.0019007200000000016
