id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isGoal,isShot,relatedEventId,relatedPlayerId,blockedX,blockedY,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2485497481.0,45.0,3.0,29.0,299,102.27000000000001,22.712,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'Length', 'Zone', 'PassEndY', 'PassEndX']","[91, 120, 29, 35, 37, 217, 218]",True,135127.0,101.85000000000001,24.14,,,,,,,,,,,,False,Benfica,Gil Vicente,
2485498057.0,46.0,3.0,29.0,290,6.300000000000001,43.452000000000005,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,['Zone'],[91],True,135962.0,,,,,,,,,,,,26.0,Rúben Fernandes,,Benfica,Gil Vicente,
2485497487.0,33.0,3.0,30.0,290,1.6800000000000002,37.536,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",KeeperPickup,Successful,[],[93],False,124712.0,,,,,,,,,,,,1.0,Stanislav Kritsyuk,,Benfica,Gil Vicente,
2485497523.0,34.0,3.0,32.0,290,5.460000000000001,36.244,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'KeeperThrow', 'Zone', 'Length', 'PassEndX']","[91, 36, 37, 215, 218]",True,124712.0,19.95,37.468,,,,,,,,,,1.0,Stanislav Kritsyuk,False,Benfica,Gil Vicente,0.0007549299999999991
,,3.0,32.0,290,19.95,37.468,,,Carry,,,,,331609.0,23.31,40.188,,,,,,,,,,21.0,Vitor Carvalho,False,Benfica,Gil Vicente,0.0
2485497543.0,35.0,3.0,34.0,290,23.31,40.188,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Zone', 'Angle', 'PassEndX', 'Length']","[91, 117, 30, 36, 37, 215, 218]",True,331609.0,31.080000000000002,65.07600000000001,,,,,,,,,,21.0,Vitor Carvalho,False,Benfica,Gil Vicente,-0.0003888999999999993
2485497597.0,36.0,3.0,37.0,290,30.555000000000003,64.804,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Length', 'Angle', 'PassEndY', 'Zone']","[91, 117, 30, 35, 38, 215, 218]",True,244655.0,17.430000000000003,59.908,,,,,,,,,,77.0,Murilo Souza,False,Benfica,Gil Vicente,-0.00198043
,,3.0,37.0,290,17.430000000000003,59.908,,,Carry,,,,,243271.0,19.11,65.48400000000001,,,,,,,,,,19.0,Adrián Marín,False,Benfica,Gil Vicente,0.0006523799999999993
2485497601.0,37.0,3.0,42.0,290,19.11,65.48400000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'OppositeRelatedEvent', 'PassEndX', 'Offensive', 'Length', 'Zone', 'PassEndY']","[91, 118, 120, 29, 36, 38, 215, 218]",True,243271.0,20.685,65.41600000000001,,,,,,,,,,19.0,Adrián Marín,False,Benfica,Gil Vicente,
2485497603.0,46.0,3.0,42.0,299,81.69,2.176,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BlockedPass,Successful,"['OppositeRelatedEvent', 'Defensive', 'Zone']","[91, 60]",True,135127.0,,,,,,,,,,,,,,,Benfica,Gil Vicente,
