id,eventId,minute,teamId,playerId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,second,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2368133421.0,31.0,2.0,1463.0,360107.0,9.555,9.860000000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'PassEndX', 'Longball', 'Zone', 'Angle']","[91, 117, 127, 36, 37, 216, 218]",True,53.0,41.265,10.132,,,,,,,,,,,,True,Portimonense,Arouca,0.004646470000000001
2368133431.0,32.0,2.0,1463.0,423988.0,47.25,4.352,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Successful,"['Zone', 'Offensive', 'OppositeRelatedEvent', 'Foul']","[91, 63]",True,59.0,,,,,,,,,,,,,,,Portimonense,Arouca,
2368133439.0,27.0,2.0,5948.0,136320.0,57.75,63.648,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Unsuccessful,"['Foul', 'Defensive', 'Zone', 'OppositeRelatedEvent']",[64],False,59.0,,,,,,,,,,,,22.0,Gastón Campi,,Portimonense,Arouca,
2368133871.0,33.0,3.0,1463.0,308886.0,46.410000000000004,4.42,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'Angle', 'FreekickTaken', 'Zone', 'Length']","[91, 119, 117, 30, 132, 36, 37, 216, 218]",True,16.0,66.675,10.336000000000002,,,,,,,,,,,,True,Portimonense,Arouca,0.00622003
2368133991.0,28.0,3.0,5948.0,316658.0,44.94,57.25600000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BlockedPass,Successful,"['Zone', 'Defensive', 'OppositeRelatedEvent']","[91, 60]",True,18.0,,,,,,,,,,,,18.0,Eboue Kouassi,,Portimonense,Arouca,
2368133883.0,34.0,3.0,1463.0,116103.0,66.675,10.336000000000002,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Offensive', 'Angle', 'Zone', 'PassEndY', 'OppositeRelatedEvent', 'Length', 'PassEndX']","[91, 120, 29, 36, 37, 217, 218]",True,18.0,71.61,11.152,,,,,,,,,,,,False,Portimonense,Arouca,0.005311739999999999
,,3.0,,316658.0,44.94,57.25600000000001,,,Carry,,,,,18.0,26.985,54.876000000000005,,,,,,,,,,18.0,Eboue Kouassi,False,Portimonense,Arouca,-0.002723370000000001
2368133931.0,35.0,3.0,1463.0,342996.0,60.06,10.744000000000002,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BlockedPass,Successful,"['OppositeRelatedEvent', 'Zone', 'Defensive']","[91, 60]",True,20.0,,,,,,,,,,,,,,,Portimonense,Arouca,
2368262889.0,768.0,3.0,5948.0,316658.0,26.985,54.876000000000005,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'OppositeRelatedEvent', 'Offensive', 'PassEndY', 'Angle', 'PassEndX', 'Length']","[91, 118, 120, 29, 36, 37, 215, 218]",True,20.0,30.345,55.42,,,,,,,,,,18.0,Eboue Kouassi,False,Portimonense,Arouca,0.0011710800000000014
2368135189.0,33.0,3.0,5948.0,316658.0,39.06,60.928,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Successful,"['OppositeRelatedEvent', 'Defensive', 'Zone']","[197, 200]",False,22.0,,,,,,,,,,,,18.0,Eboue Kouassi,,Portimonense,Arouca,
