id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,isGoal,relatedEventId,relatedPlayerId,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2375352657.0,25.0,2.0,5.0,5948.0,5.985,13.804000000000002,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'StandingSave', 'PassEndY', 'IndirectFreekickTaken', 'PassEndX', 'Longball', 'Angle', 'FreekickTaken']","[91, 119, 117, 127, 132, 36, 38, 216, 218]",True,291654.0,63.42,4.0120000000000005,,,,,,,,,,1.0,Victor Braga,True,Arouca,Benfica,0.009949880000000001
2375352687.0,26.0,2.0,9.0,5948.0,63.42,4.0120000000000005,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'OtherBodyPart', 'Angle', 'PassEndX', 'PassEndY', 'StandingSave', 'Zone']","[91, 119, 117, 30, 36, 37, 216, 218]",True,416505.0,66.57000000000001,12.58,,,,,,,,,,11.0,Adilio,False,Arouca,Benfica,0.0012528699999999997
2375352689.0,27.0,2.0,10.0,5948.0,66.57000000000001,12.58,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'PassEndX', 'Angle', 'StandingSave', 'Zone']","[91, 117, 30, 35, 38, 216, 218]",True,36712.0,43.89,3.944,,,,,,,,,,5.0,David Simão,False,Arouca,Benfica,-0.007440799999999999
2375352707.0,28.0,2.0,11.0,5948.0,43.89,3.944,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'Angle', 'Zone', 'PassEndY', 'StandingSave']","[91, 117, 30, 36, 37, 216, 218]",True,416503.0,48.93000000000002,10.540000000000001,,,,,,,,,,72.0,Thales,False,Arouca,Benfica,0.00258273
2375352711.0,29.0,2.0,13.0,5948.0,48.93000000000002,10.540000000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'Angle', 'StandingSave', 'Zone', 'Length']","[91, 117, 30, 35, 38, 216, 218]",True,316658.0,46.935,2.924,,,,,,,,,,18.0,Eboue Kouassi,False,Arouca,Benfica,-0.0013619600000000006
2375352719.0,30.0,2.0,15.0,5948.0,46.935,2.924,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'Length', 'Zone', 'Chipped', 'PassEndY', 'StandingSave', 'PassEndX']","[91, 120, 29, 124, 36, 37, 217, 218]",True,416503.0,77.80499999999999,6.188000000000002,,,,,,,,,,72.0,Thales,True,Arouca,Benfica,0.00873785
2375352747.0,26.0,2.0,17.0,299.0,23.205000000000002,63.036000000000016,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'Zone', 'Angle', 'StandingSave', 'PassEndY', 'HeadPass', 'PassEndX']","[91, 118, 120, 29, 139, 36, 37, 215, 218]",True,21778.0,31.5,68.0,,,,,,,,,,,,False,Arouca,Benfica,0.0013280500000000008
2375352939.0,32.0,2.0,32.0,5948.0,69.72000000000001,0.0,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'Angle', 'PassEndY', 'Longball', 'ThrowIn', 'Length', 'Zone']","[91, 212, 36, 37, 217]",True,416503.0,100.59,19.720000000000002,,,,,,,,,,72.0,Thales,True,Arouca,Benfica,0.04697535
2375352933.0,28.0,2.0,36.0,299.0,4.7250000000000005,45.288,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",KeeperPickup,Successful,['StandingSave'],[93],False,110273.0,,,,,,,,,,,,,,,Arouca,Benfica,
2375352987.0,29.0,2.0,37.0,299.0,9.03,38.760000000000005,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'KeeperThrow', 'PassEndY', 'Angle', 'StandingSave', 'Length', 'PassEndX']","[91, 36, 38, 215, 218]",True,110273.0,22.05,9.928,,,,,,,,,,,,False,Arouca,Benfica,1.3259999999999314e-05
2375353003.0,30.0,2.0,40.0,299.0,24.57,9.452000000000002,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndY', 'Zone', 'Angle', 'PassEndX', 'Length']","[91, 117, 30, 36, 37, 216, 218]",True,114323.0,37.48500000000001,9.520000000000001,,,,,,,,,,,,False,Arouca,Benfica,0.002723370000000001
2375353009.0,31.0,2.0,41.0,299.0,37.48500000000001,9.52,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['Zone', 'StandingSave']",[91],True,135127.0,,,,,,,,,,,,,,,Arouca,Benfica,
2375353043.0,32.0,2.0,46.0,299.0,66.99,1.7000000000000002,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['StandingSave', 'Zone']","[91, 69]",True,114323.0,,,,,,,,,,,,,,,Arouca,Benfica,
2375353337.0,34.0,3.0,8.0,5948.0,39.795,68.0,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'PassEndX', 'Zone', 'Longball', 'PassEndY', 'Length', 'ThrowIn']","[91, 212, 36, 38, 216]",True,416502.0,68.46000000000001,67.66000000000001,,,,,,,,,,6.0,Mateus Quaresma,True,Arouca,Benfica,0.0061879299999999995
2375353345.0,34.0,3.0,10.0,299.0,36.330000000000005,1.8360000000000003,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Successful,"['Defensive', 'Zone', 'OppositeRelatedEvent']","[197, 200]",False,75691.0,,,,,,,,,,,,,,,Arouca,Benfica,
2375353343.0,35.0,3.0,10.0,5948.0,68.67000000000002,66.164,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Unsuccessful,"['Offensive', 'OppositeRelatedEvent', 'Zone']","[198, 199]",False,96271.0,,,,,,,,,,,,8.0,Arsénio,,Arouca,Benfica,
