id,eventId,minute,teamId,playerId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,second,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2387379415.0,22.0,2.0,108.0,318686.0,42.105,5.984000000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['StandingSave', 'Zone']","[91, 69]",True,44.0,,,,,,,,,,,,11.0,Yan,,Arouca,Moreirense,
2387379465.0,41.0,2.0,5948.0,428999.0,53.02500000000001,63.17200000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Length', 'Zone', 'StandingSave', 'PassEndY', 'Angle']","[91, 117, 30, 35, 38, 216, 218]",True,48.0,41.37,49.980000000000004,,,,,,,,,,,,False,Arouca,Moreirense,0.0002082999999999998
2387379491.0,42.0,2.0,5948.0,326486.0,41.265,36.856,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'Angle', 'Zone', 'Length', 'StandingSave']","[91, 117, 30, 36, 38, 216, 218]",True,51.0,44.1,16.32,,,,,,,,,,,,False,Arouca,Moreirense,-0.0004792700000000004
2387379525.0,43.0,2.0,5948.0,243573.0,43.365,13.464000000000004,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'Angle', 'Zone', 'StandingSave', 'PassEndX']","[91, 117, 30, 35, 37, 216, 218]",True,53.0,38.43,32.368,,,,,,,,,,,,False,Arouca,Moreirense,0.0004792700000000004
2387379595.0,44.0,2.0,5948.0,326486.0,38.43,32.368,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'StandingSave', 'Length', 'PassEndY', 'Angle', 'Zone']","[91, 117, 30, 36, 37, 216, 218]",True,56.0,44.20500000000001,54.33200000000001,,,,,,,,,,,,False,Arouca,Moreirense,-0.0004792700000000004
2387379633.0,45.0,2.0,5948.0,401804.0,46.410000000000004,56.57600000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'PassEndX', 'Angle', 'Zone', 'Length']","[91, 119, 117, 30, 36, 37, 216, 218]",True,59.0,61.425000000000004,65.212,,,,,,,,,,,,False,Arouca,Moreirense,0.0008905599999999986
2387379645.0,46.0,3.0,5948.0,416502.0,61.425000000000004,65.212,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'Angle', 'Length', 'PassEndX', 'PassEndY', 'StandingSave', 'Chipped']","[91, 120, 29, 124, 36, 38, 216, 218]",True,0.0,65.41500000000002,55.35200000000001,,,,,,,,,,,,False,Arouca,Moreirense,0.0039675100000000005
2387379647.0,23.0,3.0,108.0,322792.0,41.580000000000005,18.088,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Successful,"['OppositeRelatedEvent', 'Zone', 'Defensive']","[197, 200]",False,2.0,,,,,,,,,,,,3.0,Lazar Rosic,,Arouca,Moreirense,
2387379671.0,47.0,3.0,5948.0,351703.0,63.42,49.912000000000006,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Unsuccessful,"['Zone', 'Offensive', 'OppositeRelatedEvent']","[198, 199]",False,2.0,,,,,,,,,,,,,,,Arouca,Moreirense,
2387379713.0,24.0,3.0,108.0,322792.0,39.9,18.224,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'HeadPass', 'PassEndY', 'Length', 'PassEndX']","[91, 117, 30, 139, 35, 38, 216, 218]",True,2.0,38.43,16.728,,,,,,,,,,3.0,Lazar Rosic,False,Arouca,Moreirense,-0.0005445499999999995
,,3.0,,328016.0,38.43,16.728,,,Carry,,,,,2.0,40.11000000000001,16.592,,,,,,,,,,4.0,Artur Jorge,False,Arouca,Moreirense,0.0
2387379725.0,25.0,3.0,108.0,328016.0,40.11000000000001,16.592,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,4.0,,,,,,,,,,,,4.0,Artur Jorge,,Arouca,Moreirense,
2387379737.0,26.0,3.0,108.0,328016.0,40.11000000000001,16.592,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'Zone', 'Length', 'PassEndY', 'Longball', 'StandingSave', 'PassEndX']","[91, 120, 128, 36, 38, 217, 218]",True,4.0,91.245,15.028000000000002,,,,,,,,,,4.0,Artur Jorge,True,Arouca,Moreirense,0.028522729999999996
2387379801.0,48.0,3.0,5948.0,291654.0,10.815,50.728,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",KeeperPickup,Successful,['StandingSave'],[93],False,9.0,,,,,,,,,,,,,,,Arouca,Moreirense,
2387379817.0,49.0,3.0,5948.0,291654.0,13.125,42.908,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'Zone', 'KeeperThrow', 'Angle', 'StandingSave', 'PassEndX']","[91, 36, 38, 215, 218]",True,12.0,27.405,27.33600000000001,,,,,,,,,,,,False,Arouca,Moreirense,0.0003880399999999992
