id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isShot,cardType,relatedEventId,relatedPlayerId,blockedX,blockedY,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2372640183.0,14.0,1.0,11.0,288.0,35.175000000000004,53.17600000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Unsuccessful,"['OppositeRelatedEvent', 'Zone', 'Defensive']","[198, 200]",False,407950.0,,,,,,,,,,,,86.0,Bruno Rodrigues,,Braga,Famalicao,
2372640177.0,23.0,1.0,12.0,935.0,71.08500000000001,12.648,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['Head', 'Zone']","[91, 69]",True,300483.0,,,,,,,,,,,,,,,Braga,Famalicao,
2372640193.0,15.0,1.0,13.0,288.0,39.58500000000001,61.404,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,361852.0,,,,,,,,,,,,4.0,Diogo Leite,,Braga,Famalicao,
2372640211.0,16.0,1.0,15.0,288.0,39.585000000000015,61.40400000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'StandingSave', 'Angle', 'PassEndY', 'PassEndX']","[91, 117, 30, 35, 38, 215, 218]",True,361852.0,29.925,48.75600000000001,,,,,,,,,,4.0,Diogo Leite,False,Braga,Famalicao,-0.00015804999999999986
2372640227.0,17.0,1.0,17.0,288.0,29.925,48.75600000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Zone', 'Length', 'StandingSave', 'PassEndX', 'Angle']","[91, 117, 30, 36, 38, 215, 218]",True,407950.0,32.97,25.16,,,,,,,,,,86.0,Bruno Rodrigues,False,Braga,Famalicao,0.0
2372640261.0,18.0,1.0,20.0,288.0,33.705000000000005,24.276000000000003,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'PassEndX', 'Length', 'PassEndY', 'Zone']","[91, 117, 30, 36, 38, 216, 218]",True,83475.0,48.300000000000004,3.3320000000000003,,,,,,,,,,15.0,Paulo Oliveira,False,Braga,Famalicao,0.0013788199999999994
2372640283.0,19.0,1.0,23.0,288.0,47.775,3.6040000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'Length', 'PassEndX', 'Angle', 'Zone']","[91, 117, 30, 35, 37, 216, 218]",True,421975.0,38.43,21.012,,,,,,,,,,2.0,Yan Couto,False,Braga,Famalicao,0.0002082999999999998
,,1.0,23.0,,38.43,21.012,,,Carry,,,,,83475.0,39.165,25.16,,,,,,,,,,15.0,Paulo Oliveira,False,Braga,Famalicao,0.0
2372640301.0,20.0,1.0,26.0,288.0,39.165,25.16,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'StandingSave', 'PassEndY', 'Length', 'PassEndX']","[91, 117, 30, 35, 37, 215, 218]",True,83475.0,34.335000000000015,38.080000000000005,,,,,,,,,,15.0,Paulo Oliveira,False,Braga,Famalicao,-0.0013679799999999995
2372640341.0,21.0,1.0,28.0,288.0,34.335000000000015,38.89600000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'Angle', 'Zone', 'Length', 'StandingSave']","[91, 117, 30, 36, 37, 216, 218]",True,407950.0,40.005,60.58800000000001,,,,,,,,,,86.0,Bruno Rodrigues,False,Braga,Famalicao,-6.108999999999976e-05
,,1.0,28.0,,40.005,60.58800000000001,,,Carry,,,,,361852.0,36.225,52.76800000000001,,,,,,,,,,4.0,Diogo Leite,False,Braga,Famalicao,-0.0006677699999999998
2372640349.0,22.0,1.0,32.0,288.0,36.225,52.76800000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'StandingSave', 'Length', 'PassEndY', 'Angle']","[91, 117, 30, 35, 38, 215, 218]",True,361852.0,32.550000000000004,36.24400000000001,,,,,,,,,,4.0,Diogo Leite,False,Braga,Famalicao,-0.00082343
2372640365.0,23.0,1.0,34.0,288.0,32.34,35.70000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'StandingSave', 'Length', 'PassEndX', 'Angle', 'Zone']","[91, 118, 120, 29, 36, 38, 216, 218]",True,407950.0,48.72,8.364,,,,,,,,,,86.0,Bruno Rodrigues,False,Braga,Famalicao,0.0011596799999999997
2372654913.0,409.0,1.0,36.0,935.0,58.17,60.79200000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,136435.0,,,,,,,,,,,,,,,Braga,Famalicao,
2372654957.0,410.0,1.0,36.0,935.0,58.17,60.79200000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'Angle', 'PassEndX', 'PassEndY', 'Length']","[91, 119, 117, 30, 36, 38, 216, 218]",True,136435.0,69.19500000000001,51.884,,,,,,,,,,,,True,Braga,Famalicao,0.0039675100000000005
2372655023.0,411.0,1.0,38.0,935.0,67.095,49.776,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'PassEndY', 'StandingSave', 'Angle', 'PassEndX']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,297245.0,70.03500000000001,39.1,,,,,,,,,,,,False,Braga,Famalicao,0.0006193799999999992
2372655039.0,412.0,1.0,39.0,935.0,71.925,38.760000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'PassEndX', 'StandingSave', 'Length', 'PassEndY']","[91, 119, 117, 30, 35, 37, 216, 218]",True,300483.0,65.83500000000001,42.84,,,,,,,,,,,,False,Braga,Famalicao,-0.004500169999999998
2372640419.0,24.0,1.0,41.0,935.0,66.99,37.944,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'PassEndY', 'Chipped', 'Angle', 'StandingSave', 'PassEndX', 'Zone']","[91, 120, 29, 124, 36, 38, 217, 218]",True,297245.0,77.59500000000001,24.14,,,,,,,,,,,,False,Braga,Famalicao,0.004151699999999998
2372640411.0,24.0,1.0,42.0,288.0,28.14,45.90000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'PassEndY', 'Zone', 'Length', 'HeadPass']","[91, 117, 30, 139, 36, 38, 216, 218]",True,361852.0,35.28,31.688,,,,,,,,,,4.0,Diogo Leite,False,Braga,Famalicao,0.0002191399999999996
2372640413.0,25.0,1.0,44.0,288.0,35.28,31.688,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,381792.0,,,,,,,,,,,,8.0,Al Musrati,,Braga,Famalicao,
,,1.0,44.0,,35.28,31.688,,,Carry,,,,,381792.0,34.02000000000001,27.064000000000004,,,,,,,,,,8.0,Al Musrati,False,Braga,Famalicao,0.0
