id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isGoal,isShot,blockedX,blockedY,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2353441535.0,12.0,1.0,21.0,288.0,29.715000000000003,59.43200000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[92],False,347204.0,,,,,,,,,,,,90.0,Galeno,,Benfica,Braga,
,,1.0,21.0,,29.715000000000007,59.43200000000001,,,Carry,,,,,347204.0,61.53,59.976000000000006,,,,,,,,,,90.0,Galeno,True,Benfica,Braga,0.0041410599999999985
2353441585.0,13.0,1.0,23.0,288.0,61.53,59.976000000000006,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['Zone', 'StandingSave']","[90, 68]",True,347204.0,,,,,,,,,,,,90.0,Galeno,,Benfica,Braga,
2353441593.0,24.0,1.0,24.0,299.0,43.365,12.988,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[92],False,300640.0,,,,,,,,,,,,,,,Benfica,Braga,
2353441669.0,25.0,1.0,26.0,299.0,43.365,12.988,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'StandingSave', 'Zone', 'PassEndY', 'Angle', 'Length']","[90, 116, 29, 35, 37, 215, 217]",True,300640.0,45.99,2.5840000000000005,,,,,,,,,,,,False,Benfica,Braga,0.00033624999999999974
2353441763.0,26.0,1.0,29.0,299.0,46.83000000000001,1.904,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Zone', 'Length', 'PassEndX', 'Angle', 'StandingSave']","[90, 118, 116, 29, 204, 35, 36, 216, 217]",True,119542.0,74.865,3.5360000000000005,,,,,,,,,,,,True,Benfica,Braga,0.00873785
2353441835.0,27.0,1.0,36.0,299.0,103.215,15.436,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Chipped', 'RightFoot', 'ShotAssist', 'Angle', 'StandingSave', 'IntentionalAssist', 'Zone', 'Cross', 'PassEndX', 'Length', 'RegularPlay', 'PassEndY', 'BigChanceCreated', 'IntentionalGoalAssist', 'KeyPass']","[90, 91, 99, 118, 122, 136, 123, 124, 202, 39, 40, 46, 34, 36, 216, 217]",True,400828.0,96.915,37.604000000000006,,,,,,,,,,,,False,Benfica,Braga,0.21097641
2353441839.0,28.0,1.0,38.0,299.0,95.445,38.012,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Goal,Successful,"['GoalMouthY', 'Head', 'RegularPlay', 'Assisted', 'GoalMouthZ', 'LowLeft', 'RelatedEventId', 'BigChance', 'BoxCentre', 'IntentionalAssist', 'Zone']","[90, 23, 8, 9, 201, 1, 3, 13, 16, 18, 26]",True,107252.0,,,27.0,400828.0,8.2,53.7,True,True,,,,,,,Benfica,Braga,
2353442851.0,14.0,2.0,43.0,288.0,52.815,34.20400000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Zone', 'Angle', 'PassEndX', 'PassEndY', 'Length']","[90, 116, 29, 34, 36, 215, 217]",True,372828.0,36.64500000000001,35.768,,,,,,,,,,9.0,Abel Ruiz,False,Benfica,Braga,-0.002219519999999999
,,2.0,43.0,,36.64500000000001,35.768,,,Carry,,,,,381792.0,34.965,34.952,,,,,,,,,,8.0,Al Musrati,False,Benfica,Braga,-0.0013027000000000004
2353481793.0,423.0,2.0,47.0,288.0,34.965,34.952,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndY', 'Length', 'PassEndX', 'Angle', 'Zone']","[90, 116, 29, 35, 36, 215, 217]",True,381792.0,49.45500000000001,40.120000000000005,,,,,,,,,,8.0,Al Musrati,False,Benfica,Braga,0.0035222199999999995
2353481795.0,424.0,2.0,48.0,288.0,49.455000000000005,40.120000000000005,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['Zone', 'StandingSave']",[90],True,127130.0,,,,,,,,,,,,21.0,Ricardo Horta,,Benfica,Braga,
2353442845.0,29.0,2.0,51.0,299.0,48.825,31.552,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[92],False,142318.0,,,,,,,,,,,,,,,Benfica,Braga,
2353442879.0,30.0,2.0,51.0,299.0,48.825,31.552,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'PassEndX', 'StandingSave', 'Zone', 'Length']","[90, 118, 116, 29, 35, 37, 215, 217]",True,142318.0,64.78500000000001,27.404000000000003,,,,,,,,,,,,True,Benfica,Braga,0.005124720000000001
