id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isGoal,isShot,cardType,blockedX,blockedY,shirtNo,name,progressive,homeTeam,awayTeam,xT
2421121259.0,23.0,3.0,22.0,288.0,9.66,46.172,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Smother,Successful,[],"[91, 114]",True,415682.0,,,,,,,,,,,,91.0,Lukas Hornicek,,Famalicao,Braga,
2421121277.0,24.0,3.0,22.0,288.0,9.66,46.172,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",KeeperPickup,Successful,['StandingSave'],[93],False,415682.0,,,,,,,,,,,,91.0,Lukas Hornicek,,Famalicao,Braga,
2421121365.0,25.0,3.0,33.0,288.0,12.81,39.1,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'Zone', 'Longball', 'StandingSave', 'PassEndY', 'Length', 'KeeperThrow']","[91, 36, 38, 215, 218]",True,415682.0,26.880000000000006,4.964,,,,,,,,,,91.0,Lukas Hornicek,False,Famalicao,Braga,-0.0010506300000000003
,,3.0,33.0,,26.880000000000006,4.964,,,Carry,,,,,395940.0,29.294999999999998,4.6240000000000006,,,,,,,,,,70.0,Fabiano,False,Famalicao,Braga,0.0
2421121369.0,26.0,3.0,37.0,288.0,29.295,4.6240000000000006,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Successful,"['Zone', 'OppositeRelatedEvent', 'Defensive', 'Foul']","[91, 63]",True,395940.0,,,,,,,,,,,,70.0,Fabiano,,Famalicao,Braga,
2421121387.0,29.0,3.0,37.0,935.0,75.705,63.376000000000005,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Unsuccessful,"['StandingSave', 'Zone', 'OppositeRelatedEvent', 'Foul', 'Offensive']",[64],False,243271.0,,,,,,,,,,,,,,,Famalicao,Braga,
2421121445.0,27.0,3.0,45.0,288.0,25.095,12.172000000000002,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'StandingSave', 'FreekickTaken', 'Length', 'Longball', 'Angle', 'Zone', 'PassEndY']","[91, 117, 127, 132, 35, 37, 215, 218]",True,83475.0,16.38,44.132000000000005,,,,,,,,,,15.0,Paulo Oliveira,False,Famalicao,Braga,0.0003536300000000006
2421121457.0,28.0,3.0,48.0,288.0,16.38,44.88,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'PassEndY', 'PassEndX', 'Zone', 'Angle']","[91, 117, 30, 36, 37, 215, 218]",True,374812.0,21.840000000000007,53.38,,,,,,,,,,16.0,David Carmo,False,Famalicao,Braga,-0.0003536300000000006
2421121483.0,29.0,3.0,52.0,288.0,21.840000000000007,53.176000000000016,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'Length', 'StandingSave', 'Angle', 'PassEndY']","[91, 117, 30, 35, 38, 215, 218]",True,361852.0,9.135,32.912,,,,,,,,,,4.0,Diogo Leite,False,Famalicao,Braga,-1.3259999999999314e-05
,,3.0,52.0,,9.135,32.912,,,Carry,,,,,415682.0,8.61,34.816,,,,,,,,,,91.0,Lukas Hornicek,False,Famalicao,Braga,-0.0014166600000000001
2421121523.0,30.0,3.0,55.0,288.0,8.61,34.816,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'PassEndY', 'Angle', 'PassEndX', 'Zone']","[91, 117, 30, 36, 37, 215, 218]",True,415682.0,11.13,48.416,,,,,,,,,,91.0,Lukas Hornicek,False,Famalicao,Braga,0.0003668899999999999
,,3.0,55.0,,11.13,48.416,,,Carry,,,,,374812.0,11.445,56.78,,,,,,,,,,16.0,David Carmo,False,Famalicao,Braga,-0.0009915600000000007
2421121543.0,31.0,3.0,58.0,288.0,11.445,56.78,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'Angle', 'PassEndY', 'Zone', 'PassEndX']","[91, 117, 30, 36, 37, 215, 218]",True,374812.0,15.855,62.96800000000001,,,,,,,,,,16.0,David Carmo,False,Famalicao,Braga,-0.0009897299999999994
,,3.0,58.0,,15.855,62.96800000000001,,,Carry,,,,,361852.0,15.959999999999999,64.80400000000002,,,,,,,,,,4.0,Diogo Leite,False,Famalicao,Braga,0.0
2421121561.0,32.0,4.0,0.0,288.0,15.959999999999999,64.80400000000002,4.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'Longball', 'PassEndY', 'Angle', 'Zone', 'Chipped', 'StandingSave', 'Length']","[91, 120, 124, 128, 36, 38, 216, 218]",True,361852.0,67.30499999999999,53.992,,,,,,,,,,4.0,Diogo Leite,True,Famalicao,Braga,0.01090731
2421121577.0,30.0,4.0,3.0,935.0,38.010000000000005,17.612000000000005,4.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'PassEndX', 'Zone', 'Angle', 'HeadPass', 'StandingSave', 'Length']","[91, 120, 29, 139, 36, 37, 216, 218]",True,422248.0,63.52500000000001,20.196000000000005,,,,,,,,,,,,True,Famalicao,Braga,0.006659580000000002
2421121583.0,33.0,4.0,5.0,288.0,43.89,50.728,4.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Successful,"['Zone', 'OppositeRelatedEvent', 'Defensive']","[197, 200]",False,381792.0,,,,,,,,,,,,8.0,Al Musrati,,Famalicao,Braga,
2421121619.0,31.0,4.0,5.0,935.0,61.11000000000001,17.272000000000002,4.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Unsuccessful,"['Offensive', 'OppositeRelatedEvent', 'Zone']","[198, 199]",False,316532.0,,,,,,,,,,,,,,,Famalicao,Braga,
2421121589.0,34.0,4.0,5.0,288.0,46.410000000000004,53.58400000000001,4.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'Zone', 'HeadPass', 'PassEndX', 'Angle']","[91, 119, 117, 30, 139, 36, 37, 216, 218]",True,381792.0,57.435,58.820000000000014,,,,,,,,,,8.0,Al Musrati,False,Famalicao,Braga,0.0022727300000000006
2421121601.0,35.0,4.0,7.0,288.0,57.015,58.61600000000001,4.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'Zone', 'PassEndX', 'StandingSave', 'Length']","[91, 117, 30, 35, 38, 216, 218]",True,402823.0,51.13500000000001,55.14800000000001,,,,,,,,,,57.0,Rodrigo Gomes,False,Famalicao,Braga,-0.0022727300000000006
2421464303.0,873.0,4.0,8.0,935.0,53.97,15.3,4.0,"{'value': 1, 'displayName': 'FirstHalf'}",BlockedPass,Successful,"['StandingSave', 'OppositeRelatedEvent', 'Defensive', 'Zone']","[91, 60]",True,344716.0,,,,,,,,,,,,,,,Famalicao,Braga,
2421121623.0,32.0,4.0,8.0,935.0,59.43000000000001,17.408,4.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,344716.0,,,,,,,,,,,,,,,Famalicao,Braga,
2421121611.0,36.0,4.0,8.0,288.0,51.13500000000001,55.14800000000001,4.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'StandingSave', 'Length', 'Offensive', 'PassEndY', 'OppositeRelatedEvent', 'Zone', 'PassEndX']","[91, 120, 29, 36, 38, 216, 218]",True,322689.0,55.335000000000015,52.156000000000006,,,,,,,,,,10.0,André Horta,False,Famalicao,Braga,0.0022727300000000006
2421121637.0,33.0,4.0,11.0,935.0,62.370000000000005,16.524,4.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'Angle', 'Zone', 'StandingSave', 'Length']","[91, 119, 117, 30, 36, 37, 216, 218]",True,344716.0,69.3,17.748,,,,,,,,,,,,False,Famalicao,Braga,0.0006478500000000019
