id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2328285893.0,19.0,1.0,16.0,786.0,36.75,27.812000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Length', 'Zone', 'StandingSave', 'PassEndY', 'Angle', 'Longball']","[90, 116, 126, 35, 36, 215, 217]",True,322859.0,41.475,61.132000000000005,,,,,,,,,,,False,Pacos de Ferreira,Braga,-0.0013637900000000001
2328286029.0,20.0,1.0,21.0,786.0,39.69,61.336000000000006,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'PassEndY', 'PassEndX', 'Length', 'StandingSave']","[90, 116, 29, 34, 37, 214, 217]",True,380682.0,22.365000000000002,44.88,,,,,,,,,,,False,Pacos de Ferreira,Braga,-0.0012496299999999998
2328286205.0,21.0,1.0,23.0,786.0,21.840000000000007,45.288,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'StandingSave', 'Zone', 'PassEndY', 'PassEndX', 'Length']","[90, 116, 29, 34, 37, 214, 217]",True,351744.0,8.925000000000002,30.668000000000003,,,,,,,,,,,False,Pacos de Ferreira,Braga,-0.0006024800000000007
2328286343.0,22.0,1.0,27.0,786.0,10.920000000000003,27.472000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Longball', 'Chipped', 'Length', 'PassEndX', 'StandingSave', 'Zone', 'PassEndY']","[90, 118, 116, 123, 126, 35, 36, 215, 217]",True,364187.0,66.045,62.83200000000001,,,,,,,,,,,True,Pacos de Ferreira,Braga,0.00662338
2328286355.0,23.0,1.0,30.0,786.0,67.515,63.444,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['Head', 'Zone']","[90, 68]",True,373655.0,,,,,,,,,,,,,,Pacos de Ferreira,Braga,
2328286923.0,18.0,1.0,45.0,288.0,40.53,0.0,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Longball', 'Length', 'PassEndX', 'Zone', 'Angle', 'PassEndY', 'ThrowIn']","[90, 211, 35, 36, 215]",True,421975.0,62.685,6.256000000000001,,,,,,,,,2.0,Yan Couto,True,Pacos de Ferreira,Braga,0.0061879299999999995
2328286945.0,25.0,1.0,47.0,786.0,38.43,60.248,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Interception,Successful,"['StandingSave', 'Zone']","[90, 100, 55]",True,23621.0,,,,,,,,,,,,,,Pacos de Ferreira,Braga,
2328287085.0,26.0,1.0,48.0,786.0,63.105000000000004,59.84,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'Angle', 'PassEndY', 'Zone', 'PassEndX']","[90, 119, 28, 34, 37, 215, 217]",True,384889.0,54.495,51.680000000000014,,,,,,,,,,,False,Pacos de Ferreira,Braga,-0.0013324699999999988
2328287191.0,19.0,1.0,50.0,288.0,50.295,12.784,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'PassEndX', 'Zone', 'Angle', 'PassEndY']","[90, 116, 29, 34, 36, 215, 217]",True,306786.0,47.460000000000015,22.508000000000003,,,,,,,,,19.0,Mario González,False,Pacos de Ferreira,Braga,0.0004458799999999992
,,1.0,50.0,,47.460000000000015,22.508000000000003,,,Carry,,,,,322689.0,46.83000000000001,20.264000000000003,,,,,,,,,10.0,André Horta,False,Pacos de Ferreira,Braga,0.0
2328287303.0,28.0,1.0,52.0,786.0,50.08500000000001,48.824,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['StandingSave', 'Zone']",[90],True,343089.0,,,,,,,,,,,,,,Pacos de Ferreira,Braga,
2328287223.0,20.0,1.0,52.0,288.0,46.83000000000001,20.264000000000003,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'Angle', 'OppositeRelatedEvent', 'PassEndX', 'PassEndY', 'StandingSave', 'Zone']","[90, 117, 119, 28, 35, 36, 215, 217]",True,322689.0,49.245,24.412,,,,,,,,,10.0,André Horta,False,Pacos de Ferreira,Braga,0.0
2328717769.0,866.0,1.0,53.0,288.0,56.910000000000004,20.604000000000003,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'PassEndX', 'PassEndY', 'Zone', 'StandingSave']","[90, 116, 29, 34, 37, 215, 217]",True,322689.0,49.980000000000004,18.836000000000002,,,,,,,,,10.0,André Horta,False,Pacos de Ferreira,Braga,-0.0025646799999999997
2328287367.0,21.0,1.0,54.0,288.0,49.665,17.408,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'StandingSave', 'Length', 'Angle', 'PassEndY']","[90, 116, 29, 34, 36, 215, 217]",True,127130.0,39.375,29.648000000000003,,,,,,,,,21.0,Ricardo Horta,False,Pacos de Ferreira,Braga,-0.0016648199999999991
