id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isGoal,isShot,blockedX,blockedY,relatedEventId,relatedPlayerId,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2387272887.0,5.0,1.0,18.0,264.0,4.7250000000000005,19.788000000000004,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",KeeperPickup,Successful,['StandingSave'],[93],False,74433.0,,,,,,,,,,,,,,,Maritimo,Sporting,
2387273033.0,6.0,1.0,21.0,264.0,5.775,29.512,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'KeeperThrow', 'StandingSave', 'Zone', 'PassEndX', 'PassEndY']","[91, 36, 37, 215, 218]",True,74433.0,8.925000000000002,52.496,,,,,,,,,,,,False,Maritimo,Sporting,-0.0019098400000000003
2387273047.0,7.0,1.0,23.0,264.0,8.925000000000002,52.496,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'PassEndX', 'Zone', 'PassEndY', 'StandingSave', 'Length']","[91, 118, 120, 29, 36, 37, 215, 218]",True,137058.0,15.120000000000001,68.0,,,,,,,,,,,,False,Maritimo,Sporting,0.0002954400000000001
2387273195.0,25.0,1.0,36.0,296.0,74.02500000000002,0.0,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'ThrowIn', 'Angle', 'PassEndY', 'Length']","[91, 212, 35, 37, 216]",True,362352.0,56.595,4.42,,,,,,,,,,24.0,Pedro Porro,False,Maritimo,Sporting,-0.006485330000000001
2387273225.0,26.0,1.0,39.0,296.0,57.960000000000015,5.032000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'PassEndY', 'PassEndX', 'Zone', 'StandingSave']","[91, 117, 30, 35, 37, 216, 218]",True,395992.0,44.625,18.428,,,,,,,,,,25.0,Gonçalo Inácio,False,Maritimo,Sporting,-0.0020442199999999994
,,1.0,39.0,,44.625,18.428,,,Carry,,,,,71268.0,47.985000000000014,18.02,,,,,,,,,,4.0,Sebastián Coates,False,Maritimo,Sporting,0.00159954
2387273251.0,27.0,1.0,43.0,296.0,47.985000000000014,18.02,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'Length', 'StandingSave', 'Zone', 'PassEndX']","[91, 119, 117, 30, 36, 38, 216, 218]",True,71268.0,68.14500000000001,12.648,,,,,,,,,,4.0,Sebastián Coates,True,Maritimo,Sporting,0.00441219
2387273289.0,28.0,1.0,45.0,296.0,67.095,12.172000000000002,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'Angle', 'Length', 'Zone', 'PassEndX']","[91, 119, 117, 30, 35, 38, 216, 218]",True,384888.0,54.70500000000001,6.800000000000002,,,,,,,,,,68.0,Daniel Bragança,False,Maritimo,Sporting,-0.0039675100000000005
,,1.0,45.0,,54.70500000000001,6.800000000000002,,,Carry,,,,,395992.0,51.24,8.976000000000003,,,,,,,,,,25.0,Gonçalo Inácio,False,Maritimo,Sporting,-0.0008905599999999986
2387273339.0,29.0,1.0,48.0,296.0,51.24,8.976000000000003,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndY', 'Angle', 'Length', 'PassEndX', 'Zone']","[91, 117, 30, 35, 37, 216, 218]",True,395992.0,47.25,37.672000000000004,,,,,,,,,,25.0,Gonçalo Inácio,False,Maritimo,Sporting,0.0010005799999999992
,,1.0,48.0,,47.25,37.672000000000004,,,Carry,,,,,283978.0,50.714999999999996,41.548,,,,,,,,,,2.0,Matheus Reis,False,Maritimo,Sporting,0.0
2387273393.0,30.0,1.0,51.0,296.0,50.714999999999996,41.548,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Zone', 'PassEndX', 'Angle', 'Length', 'PassEndY']","[91, 119, 117, 30, 36, 37, 216, 218]",True,283978.0,68.25,57.86800000000001,,,,,,,,,,2.0,Matheus Reis,False,Maritimo,Sporting,0.00385749
2387273903.0,17.0,1.0,52.0,264.0,40.74,7.48,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Challenge,Unsuccessful,"['OppositeRelatedEvent', 'Zone', 'Defensive']",[55],False,137656.0,,,,,,,,,,,,,,,Maritimo,Sporting,
2387273927.0,42.0,1.0,52.0,296.0,64.26,60.52,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Successful,"['OppositeRelatedEvent', 'Zone', 'Offensive', 'StandingSave']","[91, 54]",True,296364.0,,,,,,,,,,,,11.0,Nuno Santos,,Maritimo,Sporting,
2387273425.0,31.0,1.0,54.0,296.0,68.46000000000001,58.07200000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'StandingSave', 'Angle', 'Length', 'PassEndY']","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,296364.0,76.125,64.87200000000001,,,,,,,,,,11.0,Nuno Santos,False,Maritimo,Sporting,0.0025178200000000005
,,1.0,54.0,,76.125,64.87200000000001,,,Carry,,,,,394933.0,69.3,58.68400000000001,,,,,,,,,,8.0,Matheus Nunes,False,Maritimo,Sporting,-0.0025178200000000005
2387273463.0,32.0,1.0,58.0,296.0,69.3,58.68400000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'StandingSave', 'PassEndY', 'Length', 'Angle', 'Zone']","[91, 119, 117, 30, 35, 38, 216, 218]",True,394933.0,68.565,52.7,,,,,,,,,,8.0,Matheus Nunes,False,Maritimo,Sporting,0.0
,,1.0,58.0,,68.565,52.7,,,Carry,,,,,408962.0,75.075,55.35200000000001,,,,,,,,,,15.0,Manuel Ugarte,False,Maritimo,Sporting,0.005311739999999999
2387273495.0,10.0,2.0,2.0,264.0,20.790000000000003,16.048000000000002,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Interception,Successful,"['StandingSave', 'Zone']","[91, 101, 56]",True,137656.0,,,,,,,,,,,,,,,Maritimo,Sporting,
2387273473.0,33.0,2.0,2.0,296.0,75.075,55.35200000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'PassEndX', 'PassEndY', 'Zone', 'Angle', 'StandingSave']","[91, 120, 29, 36, 38, 217, 218]",True,408962.0,85.365,53.516000000000005,,,,,,,,,,15.0,Manuel Ugarte,False,Maritimo,Sporting,0.00551751
2387273501.0,11.0,2.0,3.0,264.0,20.790000000000003,16.048000000000002,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,137656.0,,,,,,,,,,,,,,,Maritimo,Sporting,
