id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,cardType,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,shirtNo,name,progressive,homeTeam,awayTeam,xT
2483111813.0,24.0,2.0,44.0,2008,94.29,39.712,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Dispossessed,Successful,"['Zone', 'OppositeRelatedEvent', 'Offensive']","[91, 70]",True,364014.0,,,,,,,,,,,,,,Chaves,Santa Clara,
2483111837.0,29.0,2.0,44.0,251,10.709999999999999,28.288000000000004,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Successful,"['Zone', 'Defensive', 'OppositeRelatedEvent']","[91, 143]",True,422199.0,,,,,,,,,,,4.0,Kennedy Boateng,,Chaves,Santa Clara,
2483111843.0,30.0,2.0,45.0,251,14.700000000000001,25.840000000000003,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,378828.0,,,,,,,,,,,20.0,Adriano,,Chaves,Santa Clara,
,,2.0,45.0,251,14.700000000000001,25.840000000000003,,,Carry,,,,,378828.0,21.945,23.596000000000004,,,,,,,,,20.0,Adriano,False,Chaves,Santa Clara,-0.0008141799999999994
2483111865.0,31.0,2.0,47.0,251,21.945,23.596000000000004,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'Angle', 'Zone', 'PassEndX']","[91, 117, 30, 36, 38, 215, 218]",True,378828.0,27.930000000000003,15.3,,,,,,,,,20.0,Adriano,False,Chaves,Santa Clara,0.00058186
,,2.0,47.0,251,27.930000000000003,15.3,,,Carry,,,,,449875.0,25.830000000000002,12.512,,,,,,,,,19.0,Bruno Almeida,False,Chaves,Santa Clara,-0.0011710800000000014
2483113635.0,56.0,2.0,48.0,251,25.830000000000002,12.512,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'Length', 'Angle', 'Zone']","[91, 117, 30, 36, 38, 215, 218]",True,449875.0,28.875,2.72,,,,,,,,,19.0,Bruno Almeida,False,Chaves,Santa Clara,0.0003527700000000005
,,2.0,48.0,251,28.875,2.72,,,Carry,,,,,397849.0,30.66,2.108,,,,,,,,,49.0,Gabriel Silva,False,Chaves,Santa Clara,0.0
2483111881.0,32.0,2.0,50.0,251,30.66,2.108,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'Length', 'PassEndY', 'Angle']","[91, 117, 30, 35, 37, 215, 218]",True,397849.0,20.37,7.616,,,,,,,,,49.0,Gabriel Silva,False,Chaves,Santa Clara,-0.0013280500000000008
,,2.0,50.0,251,20.37,7.616,,,Carry,,,,,92825.0,22.575,8.432,,,,,,,,,95.0,Pierre Sagna,False,Chaves,Santa Clara,0.0
2483111897.0,33.0,2.0,51.0,251,22.575,8.432,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'Angle', 'Length', 'Longball', 'PassEndY', 'PassEndX']","[91, 120, 128, 36, 38, 216, 218]",True,92825.0,66.36,7.616,,,,,,,,,95.0,Pierre Sagna,True,Chaves,Santa Clara,
2483111893.0,25.0,2.0,55.0,2008,40.005,57.93600000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Successful,"['Defensive', 'OppositeRelatedEvent', 'Zone']","[197, 200]",False,323355.0,,,,,,,,,,,,,,Chaves,Santa Clara,
2483111899.0,34.0,2.0,55.0,251,64.995,10.064000000000002,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Unsuccessful,"['Zone', 'Offensive', 'OppositeRelatedEvent']","[198, 199]",False,431984.0,,,,,,,,,,,9.0,Kyosuke Tagawa,,Chaves,Santa Clara,
2483111903.0,26.0,2.0,55.0,2008,41.160000000000004,56.440000000000005,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['HeadPass', 'Angle', 'Length', 'PassEndX', 'Zone', 'PassEndY']","[91, 117, 30, 139, 35, 38, 216, 218]",True,323355.0,36.54,43.79200000000001,,,,,,,,,,,False,Chaves,Santa Clara,0.0005445499999999995
2483111907.0,27.0,2.0,57.0,2008,36.435,43.248000000000005,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,121484.0,,,,,,,,,,,,,,Chaves,Santa Clara,
2483111937.0,28.0,3.0,1.0,2008,47.775,38.148,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Longball', 'Angle', 'Length', 'PassEndY', 'PassEndX', 'Zone']","[91, 117, 127, 35, 38, 215, 218]",True,121484.0,14.490000000000002,36.924,,,,,,,,,,,False,Chaves,Santa Clara,-0.00401876
2483111969.0,29.0,3.0,4.0,2008,13.545000000000002,35.156000000000006,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'PassEndX', 'Length', 'Angle']","[91, 117, 30, 36, 37, 215, 218]",True,363078.0,19.845,52.768,,,,,,,,,,,False,Chaves,Santa Clara,-0.0014034000000000008
2483111997.0,30.0,3.0,9.0,2008,29.82,53.312000000000005,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'PassEndX', 'Angle', 'Length']","[91, 117, 30, 36, 37, 216, 218]",True,323355.0,39.375,65.144,,,,,,,,,,,False,Chaves,Santa Clara,0.0006677699999999998
2483112025.0,31.0,3.0,12.0,2008,38.85,65.48400000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'Length', 'Zone', 'PassEndY']","[91, 117, 30, 35, 38, 215, 218]",True,437686.0,30.765,51.544000000000004,,,,,,,,,,,False,Chaves,Santa Clara,-0.0006677699999999998
2483112037.0,32.0,3.0,15.0,2008,37.38,46.03600000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'PassEndY', 'Angle', 'Length']","[91, 117, 30, 35, 38, 216, 218]",True,323355.0,35.385000000000005,28.220000000000002,,,,,,,,,,,False,Chaves,Santa Clara,-6.527999999999916e-05
2483112051.0,33.0,3.0,19.0,2008,38.115,24.616000000000003,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'Chipped', 'PassEndX', 'Angle', 'Longball', 'Length', 'PassEndY']","[91, 120, 124, 128, 36, 37, 217, 218]",True,121484.0,81.79500000000002,43.248000000000005,,,,,,,,,,,True,Chaves,Santa Clara,
2483112069.0,35.0,3.0,23.0,251,19.95,25.228,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'Angle', 'PassEndX', 'Zone', 'HeadPass']","[91, 117, 30, 139, 36, 37, 215, 218]",True,422199.0,23.31,39.372,,,,,,,,,4.0,Kennedy Boateng,False,Chaves,Santa Clara,0.00015244999999999842
2483112071.0,36.0,3.0,24.0,251,23.625,39.916000000000004,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,274646.0,,,,,,,,,,,17.0,Cristian Tassano,,Chaves,Santa Clara,
2483112103.0,37.0,3.0,24.0,251,23.625,39.916000000000004,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Zone', 'PassEndX', 'Length', 'Angle']","[91, 117, 30, 36, 38, 215, 218]",True,274646.0,28.455000000000002,34.816,,,,,,,,,17.0,Cristian Tassano,False,Chaves,Santa Clara,0.0011582700000000012
,,3.0,24.0,251,28.455000000000002,34.816,,,Carry,,,,,378828.0,28.875,33.184,,,,,,,,,20.0,Adriano,False,Chaves,Santa Clara,0.0
2483112111.0,38.0,3.0,27.0,251,28.875,33.184,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'Angle', 'Length', 'PassEndY']","[91, 117, 30, 36, 37, 215, 218]",True,378828.0,34.65,41.752,,,,,,,,,20.0,Adriano,False,Chaves,Santa Clara,0.0
,,3.0,27.0,251,34.65,41.752,,,Carry,,,,,416885.0,39.480000000000004,44.336000000000006,,,,,,,,,80.0,Victor Bobsin,False,Chaves,Santa Clara,0.0013679799999999995
