id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,blockedX,blockedY,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2482785169.0,23.0,1.0,2.0,299,61.635000000000005,16.388,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'Zone', 'Length', 'Angle']","[91, 117, 30, 35, 37, 216, 218]",True,369712.0,41.265,17.612000000000002,,,,,,,,,61.0,Florentino,False,Estoril,Benfica,-0.00601173
,,1.0,2.0,299,41.265,17.612000000000002,,,Carry,,,,,443613.0,42.42,13.192,,,,,,,,,66.0,António Silva,False,Estoril,Benfica,-0.0005445499999999995
2482785191.0,24.0,1.0,4.0,299,42.42,13.192,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'Angle', 'PassEndX', 'Zone']","[91, 119, 117, 30, 36, 38, 216, 218]",True,443613.0,59.115,4.0120000000000005,,,,,,,,,66.0,António Silva,False,Estoril,Benfica,0.002588769999999999
2482785235.0,25.0,1.0,5.0,299,59.115,4.0120000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'PassEndY', 'Angle', 'PassEndX']","[91, 117, 30, 35, 37, 216, 218]",True,401520.0,49.665,8.568,,,,,,,,,6.0,Alexander Bah,False,Estoril,Benfica,-0.002252519999999999
2482785281.0,26.0,1.0,7.0,299,49.455000000000005,9.792000000000002,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'Zone', 'PassEndY', 'Angle']","[91, 117, 30, 35, 38, 215, 218]",True,369712.0,32.13,9.316,,,,,,,,,61.0,Florentino,False,Estoril,Benfica,-0.004068810000000001
,,1.0,7.0,299,32.13,9.316,,,Carry,,,,,443613.0,25.305000000000003,8.976,,,,,,,,,66.0,António Silva,False,Estoril,Benfica,-0.0021463600000000017
2482785319.0,27.0,1.0,11.0,299,25.305000000000003,8.976,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'Zone', 'PassEndY', 'PassEndX']","[91, 117, 30, 35, 37, 215, 218]",True,443613.0,12.600000000000001,31.144000000000002,,,,,,,,,66.0,António Silva,False,Estoril,Benfica,0.0014034000000000008
,,1.0,11.0,299,12.600000000000001,31.144000000000002,,,Carry,,,,,110273.0,12.81,34.0,,,,,,,,,99.0,Odysseas Vlachodimos,False,Estoril,Benfica,0.0
2482785339.0,28.0,1.0,14.0,299,12.81,34.0,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'Angle', 'PassEndX', 'Zone']","[91, 117, 30, 36, 37, 215, 218]",True,110273.0,22.995,46.580000000000005,,,,,,,,,99.0,Odysseas Vlachodimos,False,Estoril,Benfica,-0.0008141799999999994
2482785371.0,29.0,1.0,16.0,299,23.52,45.356,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'PassEndY', 'Length', 'Zone']","[91, 117, 30, 35, 38, 215, 218]",True,75691.0,8.505,32.164,,,,,,,,,30.0,Nicolás Otamendi,False,Estoril,Benfica,-0.0006024800000000007
