id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,blockedX,blockedY,isOwnGoal,isGoal,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
,,2.0,37.0,9509,9.975,44.540000000000006,,,Carry,,,,,135570.0,9.555,42.636,,,,,,,,,,,33.0,Ricardo Batista,False,Porto,Casa Pia AC,-0.0008975500000000004
2549065579.0,22.0,2.0,40.0,9509,9.555,42.636,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'Zone', 'Length', 'Angle', 'StandingSave', 'Longball', 'PassEndX']","[91, 120, 128, 36, 38, 217, 218]",True,135570.0,80.745,37.128,,,,,,,,,,,33.0,Ricardo Batista,True,Porto,Casa Pia AC,
2549065589.0,34.0,2.0,46.0,297,20.790000000000003,27.812,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,373842.0,,,,,,,,,,,,,,,,Porto,Casa Pia AC,
2549065597.0,35.0,2.0,47.0,297,22.995,28.628000000000004,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndY', 'Length', 'PassEndX', 'Angle', 'Zone']","[91, 117, 30, 36, 37, 215, 218]",True,373842.0,30.66,49.368,,,,,,,,,,,,,False,Porto,Casa Pia AC,0.0009391300000000016
2549065621.0,36.0,2.0,52.0,297,34.33500000000001,48.89200000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'PassEndY', 'Length', 'Angle', 'StandingSave']","[91, 117, 30, 35, 38, 215, 218]",True,10105.0,33.39,24.004,,,,,,,,,,,,,False,Porto,Casa Pia AC,0.0
2549065639.0,37.0,2.0,55.0,297,34.44,23.936000000000003,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Length', 'Zone', 'Angle', 'PassEndY', 'StandingSave']","[91, 117, 30, 36, 37, 216, 218]",True,322771.0,47.355000000000004,28.900000000000002,,,,,,,,,,,,,False,Porto,Casa Pia AC,0.003741359999999999
2549065657.0,38.0,2.0,57.0,297,48.510000000000005,29.852,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'Zone', 'PassEndX', 'PassEndY', 'StandingSave']","[91, 117, 30, 35, 37, 216, 218]",True,114301.0,48.195,39.712,,,,,,,,,,,,,False,Porto,Casa Pia AC,0.0
2549065681.0,39.0,3.0,0.0,297,47.88,43.79200000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'StandingSave', 'Angle', 'PassEndY', 'PassEndX']","[91, 117, 30, 35, 37, 216, 218]",True,351744.0,35.595,45.696000000000005,,,,,,,,,,,,,False,Porto,Casa Pia AC,-0.003186659999999999
2549065697.0,40.0,3.0,7.0,297,33.81,40.392,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'PassEndY', 'Length', 'Angle', 'PassEndX']","[91, 117, 30, 36, 37, 216, 218]",True,10105.0,43.365,45.288,,,,,,,,,,,,,False,Porto,Casa Pia AC,0.0013679799999999995
2549065717.0,41.0,3.0,8.0,297,40.845,45.15200000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'Zone', 'StandingSave', 'PassEndY', 'Length']","[91, 117, 30, 35, 38, 215, 218]",True,132273.0,32.13,39.508,,,,,,,,,,,,,False,Porto,Casa Pia AC,-0.0013679799999999995
