id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,blockedX,blockedY,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2445517385.0,36.0,2.0,36.0,299,60.69,2.5160000000000005,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'PassEndX', 'Zone', 'PassEndY', 'Angle']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,119542.0,80.22000000000001,0.476,,,,,,,,,,,,True,Casa Pia,Benfica,0.01282716
2445517395.0,37.0,2.0,41.0,299,101.01,1.972,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'RightFoot', 'Cross', 'Angle', 'Chipped', 'Length', 'OppositeRelatedEvent', 'PassEndX', 'Zone', 'PassEndY', 'Offensive']","[91, 137, 124, 126, 36, 37, 217, 218]",True,343029.0,101.115,3.944,,,,,,,,,,,,False,Casa Pia,Benfica,
2445517407.0,24.0,2.0,41.0,9509,8.925,61.336000000000006,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['Zone', 'BlockedCross', 'StandingSave', 'OppositeRelatedEvent']","[91, 59]",True,105686.0,,,,,,,,,,,,19.0,Nermin Zolotic,,Casa Pia,Benfica,
2445517431.0,25.0,2.0,41.0,9509,6.510000000000001,62.35600000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",CornerAwarded,Unsuccessful,"['Zone', 'OppositeRelatedEvent', 'MissLeft']",[122],False,105686.0,,,,,,,,,,,,19.0,Nermin Zolotic,,Casa Pia,Benfica,
2445517441.0,38.0,2.0,41.0,299,98.49,5.644000000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",CornerAwarded,Successful,"['MissRight', 'Zone', 'OppositeRelatedEvent']",[122],False,343029.0,,,,,,,,,,,,,,,Casa Pia,Benfica,
2445517819.0,39.0,3.0,7.0,299,104.47500000000001,0.34,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['CornerTaken', 'Length', 'Angle', 'Zone', 'StandingSave', 'PassEndY', 'PassEndX']","[91, 119, 117, 30, 205, 31, 32, 34, 35, 37, 217, 218]",True,107252.0,97.125,2.788,,,,,,,,,,,,False,Casa Pia,Benfica,0.0
2445517847.0,40.0,3.0,10.0,299,90.405,6.596,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'PassEndX', 'PassEndY', 'StandingSave', 'Angle', 'Zone']","[91, 120, 29, 35, 37, 217, 218]",True,135127.0,85.365,23.664,,,,,,,,,,,,False,Casa Pia,Benfica,
2445517897.0,26.0,3.0,12.0,9509,19.740000000000002,47.940000000000005,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['Length', 'PassEndX', 'PassEndY', 'StandingSave', 'Angle', 'Zone']","[91, 94, 95, 215]",True,444767.0,21.315,49.164,,,,,,,,,,14.0,Takahiro Kunimoto,,Casa Pia,Benfica,
2445517879.0,41.0,3.0,12.0,299,85.67999999999999,21.692,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['StandingSave', 'Zone']",[91],True,125476.0,,,,,,,,,,,,,,,Casa Pia,Benfica,
2445517901.0,27.0,3.0,15.0,9509,8.19,66.028,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,381793.0,,,,,,,,,,,,42.0,Lucas Soares,,Casa Pia,Benfica,
,,3.0,15.0,9509,8.19,66.028,,,Carry,,,,,381793.0,9.870000000000001,65.688,,,,,,,,,,42.0,Lucas Soares,False,Casa Pia,Benfica,0.0
2445517937.0,28.0,3.0,17.0,9509,9.870000000000001,65.688,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Longball', 'Length', 'Angle', 'Zone', 'PassEndX', 'StandingSave', 'PassEndY']","[91, 118, 120, 128, 36, 37, 216, 218]",True,381793.0,51.765,68.0,,,,,,,,,,42.0,Lucas Soares,True,Casa Pia,Benfica,
