id,eventId,minute,teamId,playerId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,second,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,isGoal,isOwnGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2516611707.0,23.0,2.0,786,70735.0,44.1,9.928,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'PassEndY', 'Zone', 'Angle', 'PassEndX', 'Length']","[91, 118, 120, 29, 35, 37, 216, 218]",True,17.0,35.805,13.124,,,,,,,,,,,,,False,Casa Pia AC,Pacos de Ferreira,
2516932459.0,769.0,2.0,9509,444768.0,70.455,57.596000000000004,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Unsuccessful,"['Zone', 'StandingSave', 'Offensive']","[91, 53]",True,18.0,,,,,,,,,,,,,7.0,Saviour Godwin,,Casa Pia AC,Pacos de Ferreira,
2516611739.0,30.0,2.0,9509,444768.0,69.09,58.14000000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Successful,"['Foul', 'Offensive', 'Zone', 'OppositeRelatedEvent']","[91, 63]",True,18.0,,,,,,,,,,,,,7.0,Saviour Godwin,,Casa Pia AC,Pacos de Ferreira,
2516611759.0,24.0,2.0,786,110341.0,35.910000000000004,9.860000000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Unsuccessful,"['StandingSave', 'Foul', 'Defensive', 'OppositeRelatedEvent', 'Zone']",[64],False,18.0,,,,,,,,,,,,,,,,Casa Pia AC,Pacos de Ferreira,
2516611879.0,31.0,2.0,9509,322631.0,65.625,61.2,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'FreekickTaken', 'Angle', 'Zone', 'StandingSave', 'PassEndY', 'PassEndX']","[91, 119, 117, 30, 132, 35, 37, 216, 218]",True,26.0,59.64,61.608000000000004,,,,,,,,,,,8.0,Ângelo Neto,False,Casa Pia AC,Pacos de Ferreira,-0.0027146399999999973
2516611909.0,32.0,2.0,9509,105686.0,59.325,61.608000000000004,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'Angle', 'PassEndX', 'PassEndY', 'Length']","[91, 119, 117, 30, 36, 38, 216, 218]",True,27.0,61.214999999999996,55.488,,,,,,,,,,,19.0,Nermin Zolotic,False,Casa Pia AC,Pacos de Ferreira,0.0039675100000000005
,,2.0,9509,322631.0,61.214999999999996,55.488,,,Carry,,,,,27.0,50.714999999999996,53.244,,,,,,,,,,,8.0,Ângelo Neto,False,Casa Pia AC,Pacos de Ferreira,-0.004858069999999999
2516611957.0,33.0,2.0,9509,322631.0,50.714999999999996,53.244,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'Longball', 'Angle', 'Zone', 'StandingSave', 'PassEndX']","[91, 117, 127, 35, 38, 215, 218]",True,31.0,32.13,23.596000000000004,,,,,,,,,,,8.0,Ângelo Neto,False,Casa Pia AC,Pacos de Ferreira,-0.00274078
2516611973.0,34.0,2.0,9509,120734.0,32.13,23.596000000000004,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'PassEndX', 'Angle', 'StandingSave', 'Zone']","[91, 117, 30, 36, 38, 216, 218]",True,35.0,43.68000000000001,20.332,,,,,,,,,,,13.0,Vasco Fernandes,False,Casa Pia AC,Pacos de Ferreira,0.0015871199999999992
2516611979.0,35.0,2.0,9509,447577.0,43.68000000000001,20.332,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'PassEndX', 'Offensive', 'Zone', 'StandingSave', 'PassEndY', 'OppositeRelatedEvent', 'Length']","[91, 118, 120, 29, 36, 38, 216, 218]",True,36.0,44.94,19.652,,,,,,,,,,,24.0,Yuki Soma,False,Casa Pia AC,Pacos de Ferreira,
