id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,blockedX,blockedY,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2388416911.0,27.0,1.0,51.0,251.0,82.215,8.5,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'StandingSave', 'Zone', 'Length', 'Angle']","[91, 119, 117, 30, 205, 35, 37, 217, 218]",True,271550.0,77.28,25.364000000000004,,,,,,,,,2.0,Rafael Ramos,False,Braga,Santa Clara,-0.0034407200000000013
,,1.0,51.0,,77.28,25.364000000000004,,,Carry,,,,,101748.0,85.365,20.876,,,,,,,,,8.0,Anderson Carvalho,True,Braga,Santa Clara,0.004429620000000002
2388416915.0,20.0,1.0,54.0,288.0,25.62,45.356,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Challenge,Unsuccessful,"['Zone', 'OppositeRelatedEvent', 'Defensive']",[55],False,35405.0,,,,,,,,,,,,,,Braga,Santa Clara,
2388416925.0,28.0,1.0,54.0,251.0,79.38,22.644,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Successful,"['Offensive', 'OppositeRelatedEvent', 'StandingSave', 'Zone']","[91, 54]",True,101748.0,,,,,,,,,,,8.0,Anderson Carvalho,,Braga,Santa Clara,
2388416949.0,29.0,1.0,55.0,251.0,85.365,20.876,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Longball', 'PassEndX', 'PassEndY', 'Length', 'Chipped', 'Zone', 'StandingSave']","[91, 119, 117, 124, 127, 205, 36, 37, 217, 218]",True,101748.0,99.54,54.604,,,,,,,,,8.0,Anderson Carvalho,False,Braga,Santa Clara,0.017925189999999997
,,1.0,55.0,,99.54,54.604,,,Carry,,,,,422200.0,98.91000000000001,59.22800000000001,,,,,,,,,98.0,Ricardinho,False,Braga,Santa Clara,0.0
2388416953.0,30.0,1.0,59.0,251.0,98.91000000000001,59.22800000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'StandingSave', 'Angle', 'Length', 'Zone', 'PassEndY']","[91, 120, 29, 35, 38, 217, 218]",True,422200.0,90.09,54.80800000000001,,,,,,,,,98.0,Ricardinho,False,Braga,Santa Clara,-0.00580729
2388416951.0,21.0,2.0,0.0,288.0,19.53,12.58,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,283362.0,,,,,,,,,,,,,,Braga,Santa Clara,
2388416977.0,22.0,2.0,3.0,288.0,21.21,3.3320000000000003,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'StandingSave', 'Length', 'PassEndY', 'Angle']","[91, 117, 30, 35, 37, 215, 218]",True,283362.0,14.595,5.644000000000001,,,,,,,,,,,False,Braga,Santa Clara,-0.0006523799999999993
2388416989.0,23.0,2.0,7.0,288.0,14.175,6.256000000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'StandingSave', 'Length', 'Angle', 'PassEndX']","[91, 117, 30, 35, 37, 215, 218]",True,421975.0,2.310000000000001,14.416000000000002,,,,,,,,,,,False,Braga,Santa Clara,-0.0002954400000000001
2388417015.0,24.0,2.0,8.0,288.0,2.310000000000001,14.212000000000003,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'StandingSave', 'Zone', 'PassEndX', 'Longball', 'Length', 'PassEndY']","[91, 117, 127, 36, 38, 216, 218]",True,395940.0,46.410000000000004,13.736000000000002,,,,,,,,,,,True,Braga,Santa Clara,0.006344680000000001
2388417031.0,25.0,2.0,12.0,288.0,46.095,13.600000000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'PassEndY', 'Length', 'Angle', 'PassEndX']","[91, 117, 30, 35, 37, 216, 218]",True,372828.0,37.695,22.168000000000003,,,,,,,,,,,False,Braga,Santa Clara,-0.0011536600000000008
2388417037.0,26.0,2.0,15.0,288.0,45.464999999999996,34.88400000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'PassEndX', 'Length', 'PassEndY', 'Zone', 'StandingSave']","[91, 120, 29, 36, 37, 216, 218]",True,35405.0,59.95500000000001,57.86800000000001,,,,,,,,,,,False,Braga,Santa Clara,0.0012721500000000014
2388417041.0,31.0,2.0,17.0,251.0,33.6,9.52,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Interception,Successful,['Zone'],"[91, 101, 56]",True,271550.0,,,,,,,,,,,2.0,Rafael Ramos,,Braga,Santa Clara,
2388417045.0,27.0,2.0,17.0,288.0,59.535,57.528,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['StandingSave', 'Zone']",[91],True,402823.0,,,,,,,,,,,,,,Braga,Santa Clara,
2388417051.0,28.0,2.0,19.0,288.0,58.695,45.22000000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'PassEndX', 'Zone', 'StandingSave', 'Length']","[91, 119, 117, 30, 36, 38, 216, 218]",True,35405.0,69.615,39.916,,,,,,,,,,,True,Braga,Santa Clara,0.0031147400000000013
2388417055.0,29.0,2.0,21.0,288.0,73.29000000000002,39.1,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'Zone', 'Length', 'PassEndY', 'StandingSave']","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,127130.0,73.71000000000001,48.48400000000001,,,,,,,,,,,False,Braga,Santa Clara,0.0002709099999999992
2388417069.0,30.0,2.0,23.0,288.0,74.865,56.44000000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'PassEndY', 'StandingSave', 'Angle', 'PassEndX']","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,35405.0,84.94500000000001,59.56800000000001,,,,,,,,,,,False,Braga,Santa Clara,0.0035479100000000013
2388417079.0,31.0,2.0,27.0,288.0,78.96000000000001,62.76400000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'PassEndY', 'StandingSave', 'Angle', 'PassEndX']","[91, 119, 117, 30, 35, 38, 216, 218]",True,402823.0,64.89,61.132000000000005,,,,,,,,,,,False,Braga,Santa Clara,-0.00377069
2388417091.0,32.0,2.0,29.0,288.0,64.05,58.956,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'Zone', 'Length', 'StandingSave', 'PassEndX']","[91, 117, 30, 35, 38, 216, 218]",True,361852.0,48.195,40.188,,,,,,,,,,,False,Braga,Santa Clara,-0.00385749
2388417101.0,33.0,2.0,31.0,288.0,48.195,40.188,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndX', 'Angle', 'PassEndY', 'Length', 'Zone']","[91, 119, 117, 30, 36, 38, 216, 218]",True,374812.0,52.710000000000015,13.192000000000002,,,,,,,,,,,False,Braga,Santa Clara,0.0012721500000000014
2388417103.0,34.0,2.0,35.0,288.0,53.97,12.104,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'PassEndX', 'Zone', 'Length', 'PassEndY']","[91, 119, 117, 30, 36, 38, 216, 218]",True,395940.0,59.85,2.5840000000000005,,,,,,,,,,,False,Braga,Santa Clara,-0.001382170000000002
2388417131.0,35.0,2.0,37.0,288.0,59.85,2.788,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'PassEndY', 'StandingSave', 'Length', 'Zone']","[91, 117, 30, 35, 37, 216, 218]",True,421975.0,36.225,22.304,,,,,,,,,,,False,Braga,Santa Clara,-0.0020442199999999994
2388417139.0,36.0,2.0,44.0,288.0,33.495,17.408,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'StandingSave', 'PassEndY', 'Length', 'Zone', 'PassEndX']","[91, 117, 30, 36, 38, 216, 218]",True,374812.0,38.745,4.964,,,,,,,,,,,False,Braga,Santa Clara,0.00015804999999999986
2388417155.0,32.0,2.0,48.0,251.0,69.09,63.648,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BlockedPass,Successful,"['Zone', 'OppositeRelatedEvent', 'Defensive', 'StandingSave']","[91, 60]",True,279478.0,,,,,,,,,,,10.0,Lincoln,,Braga,Santa Clara,
