id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,isGoal,cardType,blockedX,blockedY,shirtNo,name,progressive,homeTeam,awayTeam,xT
2541713805.0,33.0,3.0,13.0,251,4.83,34.68,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['GoalKick', 'Length', 'Zone', 'Longball', 'Angle', 'MissHigh', 'PassEndY', 'PassEndX']","[91, 120, 128, 36, 38, 217, 218]",True,337629.0,71.4,12.376000000000001,,,,,,,,,,,,True,Estoril,Santa Clara,
2541713825.0,32.0,3.0,16.0,2188,38.955000000000005,57.732000000000006,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'HeadPass', 'Zone', 'Angle', 'PassEndX', 'PassEndY']","[91, 118, 120, 29, 139, 36, 38, 216, 218]",True,105928.0,49.665,49.096000000000004,,,,,,,,,,31.0,Joãozinho,False,Estoril,Santa Clara,
2541713971.0,34.0,3.0,19.0,251,56.7,23.052,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'HeadPass', 'Angle', 'PassEndX', 'PassEndY']","[91, 119, 117, 30, 139, 36, 38, 216, 218]",True,346000.0,67.62,18.836000000000002,,,,,,,,,,,,False,Estoril,Santa Clara,0.002495360000000002
2541715679.0,41.0,3.0,23.0,251,68.355,17.0,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Dispossessed,Successful,"['OppositeRelatedEvent', 'Offensive', 'Zone']","[91, 70]",True,422200.0,,,,,,,,,,,,,,,Estoril,Santa Clara,
2541715245.0,39.0,3.0,23.0,2188,36.645,51.00000000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Unsuccessful,"['OppositeRelatedEvent', 'StandingSave', 'Defensive', 'Zone']","[91, 142]",True,333315.0,,,,,,,,,,,,5.0,João Gamboa,,Estoril,Santa Clara,
2541715777.0,42.0,3.0,24.0,251,69.3,17.408,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Dispossessed,Successful,"['Zone', 'OppositeRelatedEvent', 'Offensive']","[91, 70]",True,422200.0,,,,,,,,,,,,,,,Estoril,Santa Clara,
2541716181.0,50.0,3.0,24.0,2188,35.7,50.592000000000006,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Unsuccessful,"['Zone', 'Defensive', 'OppositeRelatedEvent', 'StandingSave']","[91, 142]",True,255151.0,,,,,,,,,,,,20.0,João Carvalho,,Estoril,Santa Clara,
2542344397.0,826.0,3.0,24.0,251,71.925,19.040000000000003,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,['Zone'],[91],True,422200.0,,,,,,,,,,,,,,,Estoril,Santa Clara,
2541716395.0,51.0,3.0,24.0,2188,37.17,53.312000000000005,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['StandingSave', 'Zone']",[91],True,255151.0,,,,,,,,,,,,20.0,João Carvalho,,Estoril,Santa Clara,
2541716563.0,52.0,3.0,25.0,2188,32.865,50.32,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['Zone', 'StandingSave']","[91, 69]",True,333315.0,,,,,,,,,,,,5.0,João Gamboa,,Estoril,Santa Clara,
2541713975.0,35.0,3.0,26.0,251,68.25,21.896000000000004,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Successful,"['Foul', 'Offensive', 'OppositeRelatedEvent', 'Zone']","[91, 63]",True,346000.0,,,,,,,,,,,,,,,Estoril,Santa Clara,
2541713977.0,33.0,3.0,26.0,2188,36.75,46.104,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Unsuccessful,"['OppositeRelatedEvent', 'Foul', 'Defensive', 'Zone']",[64],False,333315.0,,,,,,,,,,,,5.0,João Gamboa,,Estoril,Santa Clara,
2541714657.0,37.0,4.0,3.0,251,75.28500000000001,16.932,4.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'PassEndY', 'PassEndX', 'Zone', 'Chipped', 'Longball', 'LeftFoot', 'Cross', 'FreekickTaken', 'Length', 'Angle']","[91, 138, 124, 126, 36, 37, 217, 218]",True,281935.0,105.0,39.712,,,,,,,,,,,,True,Estoril,Santa Clara,
2541714967.0,35.0,4.0,15.0,2188,4.305,33.252,4.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'PassEndX', 'Zone', 'PassEndY', 'GoalKick']","[91, 117, 30, 36, 37, 215, 218]",True,331191.0,11.445,46.24,,,,,,,,,,99.0,Daniel Figueira,False,Estoril,Santa Clara,0.0003668899999999999
,,4.0,15.0,2188,11.445,46.24,,,Carry,,,,,421890.0,36.015,49.232000000000006,,,,,,,,,,3.0,Bernardo Vital,True,Estoril,Santa Clara,0.00291429
2541715067.0,36.0,4.0,26.0,2188,36.015,49.232000000000006,4.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'PassEndY', 'PassEndX', 'Length', 'Angle']","[91, 117, 30, 35, 38, 215, 218]",True,421890.0,14.07,39.78,,,,,,,,,,3.0,Bernardo Vital,False,Estoril,Santa Clara,-0.0018645199999999997
,,4.0,26.0,2188,14.07,39.78,,,Carry,,,,,331191.0,12.600000000000001,36.652,,,,,,,,,,99.0,Daniel Figueira,False,Estoril,Santa Clara,0.0
2541715131.0,37.0,4.0,30.0,2188,12.600000000000001,36.652,4.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'Angle', 'PassEndY', 'PassEndX', 'Length']","[91, 117, 30, 36, 38, 215, 218]",True,331191.0,14.07,21.284000000000002,,,,,,,,,,99.0,Daniel Figueira,False,Estoril,Santa Clara,-0.0010497700000000002
