id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,cardType,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2388118623.0,35.0,4.0,23.0,290.0,11.235,49.912000000000006,4.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,381594.0,,,,,,,,,,,,,,,Porto,Gil Vicente,
2388118677.0,36.0,4.0,23.0,290.0,12.39,49.70800000000002,4.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'StandingSave', 'Angle', 'Longball', 'Length', 'PassEndY', 'Zone']","[91, 120, 128, 36, 37, 217, 218]",True,381594.0,76.965,60.79200000000001,,,,,,,,,,,,True,Porto,Gil Vicente,0.01144384
2388118693.0,21.0,4.0,28.0,297.0,28.665000000000003,6.460000000000001,4.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,373842.0,,,,,,,,,,,,99.0,Diogo Costa,,Porto,Gil Vicente,
,,4.0,28.0,,28.665000000000006,6.460000000000003,,,Carry,,,,,373842.0,28.98000000000001,9.724000000000002,,,,,,,,,,99.0,Diogo Costa,False,Porto,Gil Vicente,0.0008183100000000009
2388118775.0,22.0,4.0,31.0,297.0,28.98000000000001,9.724000000000002,4.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndY', 'Length', 'Angle', 'PassEndX', 'Zone']","[91, 117, 30, 36, 38, 215, 218]",True,373842.0,33.6,5.236000000000001,,,,,,,,,,99.0,Diogo Costa,False,Porto,Gil Vicente,-0.0008183100000000009
2388118803.0,23.0,4.0,33.0,297.0,34.335000000000015,4.964,4.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'StandingSave', 'PassEndX', 'Angle', 'Zone']","[91, 117, 30, 36, 37, 216, 218]",True,395173.0,39.27000000000001,18.972,,,,,,,,,,23.0,João Mário,False,Porto,Gil Vicente,0.00291515
2388118831.0,24.0,4.0,36.0,297.0,39.69,19.856,4.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'PassEndX', 'Zone', 'StandingSave', 'Length']","[91, 117, 30, 35, 37, 216, 218]",True,384887.0,37.17,35.42800000000001,,,,,,,,,,20.0,Vitinha,False,Porto,Gil Vicente,-6.527999999999916e-05
2388118867.0,25.0,4.0,38.0,297.0,38.115,36.312000000000005,4.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'PassEndX', 'PassEndY', 'StandingSave', 'Length']","[91, 117, 30, 36, 37, 216, 218]",True,351744.0,43.68000000000002,65.48400000000001,,,,,,,,,,46.0,Stephen Eustáquio,False,Porto,Gil Vicente,-0.0013637900000000001
,,4.0,38.0,,43.68000000000002,65.48400000000001,,,Carry,,,,,381717.0,44.94,64.60000000000001,,,,,,,,,,12.0,Zaidu Sanusi,False,Porto,Gil Vicente,0.0012207699999999995
2388118889.0,26.0,4.0,41.0,297.0,44.94,64.60000000000001,4.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'PassEndX', 'Length', 'Zone', 'PassEndY']","[91, 117, 30, 35, 38, 216, 218]",True,381717.0,37.8,57.05200000000001,,,,,,,,,,12.0,Zaidu Sanusi,False,Porto,Gil Vicente,-0.00033624999999999974
2388118949.0,27.0,4.0,43.0,297.0,38.64,56.44000000000001,4.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'Angle', 'PassEndX', 'StandingSave', 'PassEndY']","[91, 117, 30, 36, 38, 216, 218]",True,322771.0,40.32,28.492000000000004,,,,,,,,,,2.0,Fábio Cardoso,False,Porto,Gil Vicente,0.0004792700000000004
,,4.0,43.0,,40.32,28.492000000000004,,,Carry,,,,,384887.0,42.839999999999996,24.34400000000001,,,,,,,,,,20.0,Vitinha,False,Porto,Gil Vicente,6.527999999999916e-05
2388119009.0,28.0,4.0,48.0,297.0,42.839999999999996,24.34400000000001,4.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'PassEndY', 'StandingSave', 'Zone', 'Length']","[91, 117, 30, 36, 38, 216, 218]",True,384887.0,49.45500000000001,6.392,,,,,,,,,,20.0,Vitinha,False,Porto,Gil Vicente,-0.0002082999999999998
,,4.0,48.0,,49.45500000000001,6.392,,,Carry,,,,,104368.0,62.475,4.556,,,,,,,,,,19.0,Chancel Mbemba,True,Porto,Gil Vicente,0.00496716
2388119059.0,29.0,4.0,52.0,297.0,62.475,4.556,4.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Longball', 'PassEndY', 'Zone', 'StandingSave', 'Angle', 'PassEndX']","[91, 119, 117, 127, 205, 36, 37, 217, 218]",True,104368.0,102.58500000000001,18.768,,,,,,,,,,19.0,Chancel Mbemba,True,Porto,Gil Vicente,0.04697535
2388119109.0,37.0,4.0,56.0,290.0,2.52,38.352,4.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['Angle', 'Length', 'Zone', 'StandingSave', 'PassEndX', 'PassEndY']","[91, 94, 95, 215]",True,362746.0,2.415,42.432,,,,,,,,,,,,,Porto,Gil Vicente,
2388119083.0,30.0,4.0,56.0,297.0,102.58500000000001,18.768,4.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'Length', 'Angle', 'PassEndY', 'StandingSave', 'PassEndX']","[91, 120, 29, 35, 37, 217, 218]",True,384430.0,101.64,27.880000000000013,,,,,,,,,,30.0,Evanilson,False,Porto,Gil Vicente,0.19302766999999998
2388119119.0,38.0,4.0,57.0,290.0,2.415,42.976000000000006,4.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['OtherBodyPart', 'StandingSave', 'Zone']",[91],True,334129.0,,,,,,,,,,,,,,,Porto,Gil Vicente,
2388119115.0,31.0,4.0,57.0,297.0,103.845,26.452,4.0,"{'value': 1, 'displayName': 'FirstHalf'}",CornerAwarded,Successful,"['OppositeRelatedEvent', 'Zone', 'MissRight']",[122],False,384430.0,,,,,,,,,,,,30.0,Evanilson,,Porto,Gil Vicente,
