id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,cardType,blockedX,blockedY,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2452465395.0,25.0,1.0,22.0,935,10.290000000000001,56.440000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Zone', 'Angle', 'PassEndX', 'PassEndY', 'Length', 'Longball', 'Chipped']","[91, 117, 124, 127, 36, 37, 216, 218]",True,363299.0,48.089999999999996,64.05600000000001,,,,,,,,,,4.0,Enea Mihaj,True,Famalicao,Santa Clara,0.003697550000000001
2452465405.0,26.0,1.0,25.0,935,47.25,63.24,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Successful,"['OppositeRelatedEvent', 'Defensive', 'Zone']","[197, 200]",False,432217.0,,,,,,,,,,,,14.0,Junior Kadile,,Famalicao,Santa Clara,
2452465413.0,24.0,1.0,25.0,251,57.75,4.760000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Unsuccessful,"['OppositeRelatedEvent', 'Zone', 'Offensive']","[198, 199]",False,369083.0,,,,,,,,,,,,,,,Famalicao,Santa Clara,
2452465409.0,27.0,1.0,25.0,935,48.195,64.05600000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['HeadPass', 'PassEndY', 'PassEndX', 'Angle', 'Zone', 'Length']","[91, 118, 120, 29, 139, 36, 38, 216, 218]",True,432217.0,49.245,63.580000000000005,,,,,,,,,,14.0,Junior Kadile,False,Famalicao,Santa Clara,
2452465429.0,25.0,1.0,26.0,251,61.214999999999996,5.644000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,369083.0,,,,,,,,,,,,,,,Famalicao,Santa Clara,
2452465473.0,26.0,1.0,27.0,251,63.0,3.2640000000000002,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Successful,"['OppositeRelatedEvent', 'StandingSave', 'Zone', 'Offensive']","[91, 54]",True,369083.0,,,,,,,,,,,,,,,Famalicao,Santa Clara,
2452465447.0,28.0,1.0,27.0,935,42.0,64.736,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Challenge,Unsuccessful,"['Defensive', 'Zone', 'OppositeRelatedEvent']",[55],False,373108.0,,,,,,,,,,,,11.0,Pedro Brazão,,Famalicao,Santa Clara,
2452465515.0,27.0,1.0,30.0,251,79.17000000000002,3.3320000000000003,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'Zone', 'StandingSave', 'PassEndX', 'Angle']","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,369083.0,87.15,13.600000000000001,,,,,,,,,,,,True,Famalicao,Santa Clara,0.013106799999999998
2452465555.0,28.0,1.0,33.0,251,81.06,9.112,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'PassEndX', 'Angle', 'Zone', 'Length', 'PassEndY']","[91, 120, 29, 36, 38, 217, 218]",True,431984.0,92.08500000000001,6.460000000000001,,,,,,,,,,,,False,Famalicao,Santa Clara,
2452465551.0,29.0,1.0,34.0,935,13.020000000000001,62.968,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,136435.0,,,,,,,,,,,,5.0,Rúben Lima,,Famalicao,Santa Clara,
,,1.0,34.0,935,13.020000000000001,62.968,,,Carry,,,,,136435.0,12.81,66.436,,,,,,,,,,5.0,Rúben Lima,False,Famalicao,Santa Clara,0.0
2452465581.0,30.0,1.0,36.0,935,12.81,66.436,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'PassEndX', 'Length', 'Zone', 'Offensive', 'PassEndY', 'Longball', 'OppositeRelatedEvent', 'Angle']","[91, 118, 120, 128, 36, 37, 215, 218]",True,136435.0,15.015,66.708,,,,,,,,,,5.0,Rúben Lima,False,Famalicao,Santa Clara,
2452465579.0,29.0,1.0,36.0,251,91.77000000000001,1.7680000000000002,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BlockedPass,Successful,"['Defensive', 'Zone', 'OppositeRelatedEvent']","[91, 60]",True,369083.0,,,,,,,,,,,,,,,Famalicao,Santa Clara,
