id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2482712763.0,407.0,3.0,37.0,935,25.515,41.752,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,['Zone'],[91],True,372842.0,,,,,,,,,,,12.0,Gustavo Assunção,,Maritimo,Famalicao,
2482690833.0,37.0,3.0,40.0,264,89.46000000000001,18.224,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'Chipped', 'RightFoot', 'Zone', 'PassEndY', 'Cross', 'Angle', 'PassEndX']","[91, 137, 124, 126, 36, 37, 217, 218]",True,422003.0,91.875,22.032,,,,,,,,,,,False,Maritimo,Famalicao,
2482690825.0,34.0,3.0,40.0,935,11.97,45.56,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,['Zone'],[91],True,363299.0,,,,,,,,,,,4.0,Enea Mihaj,,Maritimo,Famalicao,
2482690837.0,35.0,3.0,41.0,935,14.595,33.592,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['Angle', 'Zone', 'Length', 'PassEndY', 'PassEndX']","[91, 94, 95, 215]",True,119622.0,32.76,46.580000000000005,,,,,,,,,7.0,Ivo Rodrigues,,Maritimo,Famalicao,
2482690839.0,36.0,3.0,42.0,935,32.34,46.580000000000005,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,408370.0,,,,,,,,,,,9.0,Álex Millán,,Maritimo,Famalicao,
2482690841.0,37.0,3.0,42.0,935,32.34,46.376000000000005,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'PassEndX', 'Length', 'Zone']","[91, 117, 30, 35, 38, 215, 218]",True,408370.0,28.56,42.772000000000006,,,,,,,,,9.0,Álex Millán,False,Maritimo,Famalicao,0.0002191399999999996
2482690845.0,38.0,3.0,43.0,935,29.19,42.568000000000005,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'Offensive', 'OppositeRelatedEvent', 'Angle', 'PassEndY', 'Length', 'Zone']","[91, 118, 120, 29, 36, 38, 215, 218]",True,372842.0,31.080000000000002,42.432,,,,,,,,,12.0,Gustavo Assunção,False,Maritimo,Famalicao,
2482690853.0,38.0,3.0,43.0,264,74.34,24.888,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BlockedPass,Successful,"['Zone', 'OppositeRelatedEvent', 'Defensive']","[91, 60]",True,422003.0,,,,,,,,,,,,,,Maritimo,Famalicao,
2482693337.0,81.0,3.0,43.0,264,73.08,32.776,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsidePass,Successful,"['PassEndX', 'PlayerCaughtOffside', 'Zone', 'PassEndY']","[91, 217]",True,422003.0,82.11,25.772000000000002,,,,,,,,,,,,Maritimo,Famalicao,
2482713259.0,408.0,3.0,44.0,935,16.275000000000002,40.93600000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsideProvoked,Successful,[],[62],False,401060.0,,,,,,,,,,,74.0,Francisco Moura,,Maritimo,Famalicao,
2482690947.0,40.0,3.0,51.0,935,21.105000000000004,55.35200000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'IndirectFreekickTaken', 'Zone', 'PassEndY', 'FreekickTaken', 'Angle', 'PassEndX']","[91, 117, 30, 132, 36, 37, 216, 218]",True,401060.0,45.57,64.60000000000001,,,,,,,,,74.0,Francisco Moura,False,Maritimo,Famalicao,0.0030596200000000007
,,3.0,51.0,935,45.57,64.60000000000001,,,Carry,,,,,119622.0,40.11000000000001,54.53600000000001,,,,,,,,,7.0,Ivo Rodrigues,False,Maritimo,Famalicao,-0.00033624999999999974
2482690979.0,41.0,3.0,57.0,935,40.11000000000001,54.53600000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'Angle', 'Zone', 'Length']","[91, 117, 30, 35, 38, 215, 218]",True,119622.0,32.655,45.288,,,,,,,,,7.0,Ivo Rodrigues,False,Maritimo,Famalicao,-0.0010425699999999996
,,3.0,57.0,935,32.655,45.288,,,Carry,,,,,70484.0,31.080000000000002,41.208000000000006,,,,,,,,,25.0,Pelé,False,Maritimo,Famalicao,0.0002191399999999996
2482704337.0,11081.0,3.0,,264,82.11,25.772000000000002,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsideGiven,Unsuccessful,[],[61],False,101952.0,,,,,,,,,,,,,,Maritimo,Famalicao,
