awayTeam,away_score,blockedX,blockedY,eventType,expectedGoals,expectedGoalsOnTarget,firstName,goalCrossedY,goalCrossedZ,homeTeam,home_score,id,isBlocked,isOnTarget,isOwnGoal,lastName,min,minAdded,name,onGoalShot,period,playerId,playerName,round,shotType,situation,teamId,x,y
Arouca,0.0,,,Post,0.49082604,,Goncalo,30.328,1.059473679,Benfica,2.0,2318800043.0,0.0,1.0,0.0,Ramos,81.0,,Benfica,"{'x': 1.9714285714285706, 'y': 0.28028404206349206, 'zoomRatio': 1}",SecondHalf,940087.0,Goncalo Ramos,2.0,RightFoot,RegularPlay,9772.0,101.11207041275414,29.799762544232447
Arouca,0.0,104.1465517242,35.0675,AttemptSaved,0.14992613,0.0629,Goncalo,33.695,1.8685263066,Benfica,2.0,2318811701.0,0.0,1.0,0.0,Ramos,90.0,3.0,Benfica,"{'x': 1.0806878306878307, 'y': 0.49431912873015876, 'zoomRatio': 1}",SecondHalf,940087.0,Goncalo Ramos,2.0,Header,RegularPlay,9772.0,96.9912265970607,37.35500116348267
Arouca,0.0,,,Miss,0.03158322,,Rafa,21.7571974559,1.60526315,Benfica,2.0,2318812013.0,0.0,0.0,0.0,Silva,90.0,4.0,Benfica,"{'x': 2, 'y': 0.1311189283840571, 'zoomRatio': 0.3087528355034723}",SecondHalf,477023.0,Rafa Silva,2.0,RightFoot,FromCorner,9772.0,89.0999984741211,42.00375044107437
Belenenses SAD,0.0,87.21176470559999,33.466249999999995,AttemptSaved,0.0364385247230529,,Darwin,32.6275,1.219999994,Benfica,0.0,2404026651.0,1.0,1.0,0.0,Nunez,2.0,,Benfica,"{'x': 1.3630952380952386, 'y': 0.32275132116402117, 'zoomRatio': 1}",FirstHalf,950561.0,Darwin Nunez,29.0,RightFoot,RegularPlay,9772.0,79.33154996226887,33.77125058174133
Belenenses SAD,1.0,,,Goal,0.7093311548233032,0.9751,Afonso,31.94125,2.0290526216,Benfica,0.0,2404027469.0,0.0,1.0,0.0,Sousa,3.0,,Belenenses SAD,"{'x': 1.544642857142858, 'y': 0.5367864078306878, 'zoomRatio': 1}",FirstHalf,1083349.0,Afonso Sousa,29.0,LeftFoot,RegularPlay,9807.0,100.63793248175412,31.86500058174133
Belenenses SAD,1.0,,,Miss,0.0556780993938446,,Darwin,38.452380954,4.5846896616,Benfica,0.0,2404029777.0,0.0,0.0,0.0,Nunez,5.0,,Benfica,"{'x': 0.3422959165678018, 'y': 0.6772486772486772, 'zoomRatio': 0.5583802152284811}",FirstHalf,950561.0,Darwin Nunez,29.0,Header,RegularPlay,9772.0,96.0263143160607,37.507498836517335
Belenenses SAD,1.0,,,Miss,0.1847196519374847,,Diogo,28.959285713000003,5.1842758704000005,Benfica,0.0,2404031795.0,0.0,0.0,0.0,Goncalves,7.0,,Benfica,"{'x': 1.6584944876777672, 'y': 0.6772486772486772, 'zoomRatio': 0.4938008825140857}",FirstHalf,576118.0,Diogo Goncalves,29.0,RightFoot,RegularPlay,9772.0,95.7368450487786,37.20250058174133
Belenenses SAD,1.0,104.1465517242,35.525000000000006,AttemptSaved,0.0354606509208679,0.1585,Rafael,37.58375000000001,0.7319999964,Benfica,0.0,2404038361.0,0.0,1.0,0.0,Camacho,14.0,,Belenenses SAD,"{'x': 0.05191798941798709, 'y': 0.19365079269841268, 'zoomRatio': 1}",FirstHalf,933778.0,Rafael Camacho,29.0,RightFoot,RegularPlay,9807.0,91.0999984741211,56.71810626052172
Belenenses SAD,1.0,88.9,31.63625,AttemptSaved,0.0538453161716461,,,35.0675,1.219999994,Benfica,0.0,2404042225.0,1.0,1.0,0.0,Éverton,18.0,,Benfica,"{'x': 0.7175925925925919, 'y': 0.32275132116402117, 'zoomRatio': 1}",FirstHalf,528348.0,Éverton,29.0,LeftFoot,FromCorner,9772.0,86.03087907624823,31.10250058174133
Belenenses SAD,1.0,88.1779411764,28.539047618000005,AttemptSaved,0.0261704325675964,,Soualiho,33.61875,1.219999994,Benfica,0.0,2404044569.0,1.0,1.0,0.0,Meité,20.0,,Benfica,"{'x': 1.1008597883597888, 'y': 0.32275132116402117, 'zoomRatio': 1}",FirstHalf,279477.0,Soualiho Meité,29.0,LeftFoot,RegularPlay,9772.0,77.4169902928,25.649375441074373
