shirtNo,team,playerId,name,minutes,prog_passes,prog_carries,defensive_actions,suc_take_ons,total_passes,suc_passes,take_ons,xt,final_third_entries,final_third_passes,penalty_box_entries,penalty_box_passes,key_passes
8.0,Santa-Clara,101748.0,Anderson Carvalho,1905.0,57.0,27.0,235.0,13.0,702.0,527.0,20.0,0.3882673899999995,4.0,48.0,4.0,5.0,0.0
8.0,Sporting,394933.0,Matheus Nunes,2567.0,91.0,203.0,277.0,81.0,1433.0,1216.0,123.0,1.6775333999999995,70.0,125.0,12.0,31.0,10.0
8.0,Tondela,119089.0,João Pedro,1917.0,90.0,30.0,176.0,10.0,837.0,559.0,21.0,1.5170919099999995,9.0,91.0,1.0,13.0,1.0
8.0,Vitoria-de-Guimaraes,276037.0,Ruben Lameiras,1531.0,40.0,86.0,106.0,24.0,435.0,301.0,61.0,0.7677416999999996,24.0,25.0,19.0,18.0,4.0
8.0,Vizela,143050.0,Raphael Guzzo,814.0,40.0,22.0,95.0,4.0,500.0,399.0,12.0,1.2359529,6.0,49.0,0.0,7.0,1.0
9.0,Arouca,130920.0,Omri Altman,135.0,5.0,1.0,13.0,0.0,49.0,39.0,1.0,0.16458097,0.0,4.0,1.0,2.0,0.0
9.0,Arouca,416506.0,Mauro Caballero,4.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,-0.0012582599999999,0.0,0.0,0.0,0.0,0.0
9.0,Belenenses-SAD,322162.0,Mateo Cassierra,171.0,4.0,6.0,9.0,2.0,37.0,30.0,3.0,0.2726544499999999,2.0,3.0,0.0,2.0,1.0
9.0,Benfica,400828.0,Darwin Núñez,1983.0,34.0,136.0,86.0,39.0,468.0,293.0,86.0,2.383898980000001,31.0,24.0,47.0,21.0,12.0
9.0,Boavista,404198.0,Petar Musa,2320.0,23.0,40.0,116.0,25.0,551.0,355.0,52.0,0.3416565899999995,17.0,31.0,8.0,7.0,7.0
9.0,Braga,372828.0,Abel Ruiz,1379.0,9.0,52.0,55.0,20.0,349.0,275.0,29.0,0.6205061899999998,10.0,13.0,11.0,9.0,6.0
9.0,Estoril,354446.0,André Clóvis,865.0,6.0,18.0,49.0,4.0,140.0,99.0,14.0,0.2271406300000001,6.0,5.0,8.0,4.0,0.0
9.0,Famalicao,365414.0,Marcos Paulo,682.0,19.0,27.0,52.0,17.0,193.0,140.0,33.0,0.3885557899999999,7.0,15.0,3.0,6.0,1.0
9.0,Gil-Vicente,369398.0,Fran Navarro,2621.0,10.0,27.0,106.0,10.0,405.0,319.0,25.0,-0.3593063299999988,14.0,19.0,7.0,4.0,3.0
9.0,Maritimo,403771.0,Ali Alipour,1795.0,6.0,35.0,83.0,15.0,358.0,248.0,31.0,-0.3927572499999996,5.0,15.0,11.0,6.0,4.0
9.0,Moreirense,363792.0,André Luís,1325.0,29.0,19.0,82.0,14.0,405.0,253.0,24.0,0.7188835499999997,10.0,34.0,3.0,9.0,4.0
9.0,Pacos-de-Ferreira,380685.0,Uilton,1886.0,40.0,92.0,171.0,22.0,617.0,456.0,33.0,1.552705079999999,37.0,35.0,5.0,13.0,5.0
9.0,Portimonense,106408.0,Fabrício,1331.0,12.0,34.0,70.0,11.0,297.0,174.0,27.0,0.1043461800000003,12.0,19.0,7.0,7.0,2.0
9.0,Porto,358801.0,Mehdi Taremi,2430.0,60.0,110.0,142.0,21.0,688.0,503.0,55.0,3.15123307,52.0,46.0,34.0,31.0,18.0
9.0,Santa-Clara,422201.0,Mohamed Bouldini,149.0,1.0,3.0,7.0,2.0,44.0,26.0,3.0,-0.0021812100000002,2.0,2.0,2.0,0.0,0.0
9.0,Sporting,108055.0,Islam Slimani,432.0,3.0,10.0,18.0,2.0,113.0,78.0,2.0,-0.0231769499999998,7.0,4.0,0.0,4.0,1.0
9.0,Vitoria-de-Guimaraes,382261.0,Bruno Duarte,1007.0,14.0,19.0,48.0,6.0,235.0,159.0,9.0,-0.0139944199999999,9.0,16.0,5.0,10.0,3.0
9.0,Vizela,119543.0,Cassiano,1676.0,18.0,43.0,69.0,7.0,298.0,181.0,16.0,0.1592739699999997,19.0,13.0,9.0,4.0,7.0
10.0,Arouca,298402.0,André Bukia,2575.0,64.0,160.0,210.0,45.0,630.0,442.0,136.0,1.44139038,60.0,34.0,24.0,22.0,8.0
10.0,Belenenses-SAD,400848.0,Afonso Sousa,2293.0,70.0,112.0,177.0,36.0,924.0,767.0,73.0,1.8414908300000008,51.0,76.0,5.0,20.0,4.0
10.0,Benfica,148484.0,Gian-Luca Waldschmidt,141.0,4.0,8.0,9.0,1.0,50.0,39.0,3.0,0.19788344,1.0,3.0,3.0,2.0,0.0
