id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isGoal,isShot,cardType,blockedX,blockedY,isOwnGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2521830447.0,17.0,1.0,26.0,107,32.550000000000004,50.660000000000004,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'Angle', 'PassEndY', 'PassEndX', 'Longball', 'Length']","[91, 117, 127, 36, 38, 216, 218]",True,135638.0,35.7,16.252,,,,,,,,,,,10.0,Tiago Silva,False,Benfica,Vitoria de Guimaraes,0.0010425699999999996
2521830469.0,18.0,1.0,29.0,107,35.7,16.252,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'StandingSave', 'Angle', 'Zone', 'Length', 'Longball', 'PassEndX']","[91, 120, 128, 36, 37, 216, 218]",True,431674.0,60.375,40.25600000000001,,,,,,,,,,,2.0,Miguel Maga,True,Benfica,Vitoria de Guimaraes,
2521830481.0,24.0,1.0,31.0,299,38.64,22.78,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,443613.0,,,,,,,,,,,,,,,,Benfica,Vitoria de Guimaraes,
2521830591.0,25.0,1.0,35.0,299,41.79,20.060000000000002,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'Angle', 'StandingSave', 'PassEndX', 'Length']","[91, 117, 30, 35, 38, 216, 218]",True,443613.0,39.795,5.372000000000001,,,,,,,,,,,,,False,Benfica,Vitoria de Guimaraes,-0.0014290699999999993
2521830669.0,26.0,1.0,39.0,299,39.795,5.168,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'Angle', 'StandingSave', 'PassEndX', 'Chipped', 'PassEndY', 'Zone', 'Longball']","[91, 120, 124, 128, 36, 38, 217, 218]",True,401520.0,83.05499999999999,5.032000000000001,,,,,,,,,,,,,True,Benfica,Vitoria de Guimaraes,
2521830677.0,19.0,1.0,41.0,107,23.1,64.94,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['Angle', 'StandingSave', 'PassEndX', 'Zone', 'Head', 'Length', 'PassEndY']","[91, 94, 95, 57, 215]",True,318502.0,21.419999999999998,68.0,,,,,,,,,,,3.0,Mikel Villanueva,,Benfica,Vitoria de Guimaraes,
2521831021.0,28.0,1.0,53.0,299,80.745,0.0,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'Zone', 'ThrowIn', 'PassEndX', 'Angle', 'PassEndY']","[91, 212, 36, 37, 217]",True,401520.0,89.46000000000001,4.964,,,,,,,,,,,,,False,Benfica,Vitoria de Guimaraes,
2521831039.0,21.0,1.0,54.0,107,13.86,63.648,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Interception,Successful,['Zone'],"[91, 101, 56]",True,318502.0,,,,,,,,,,,,,3.0,Mikel Villanueva,,Benfica,Vitoria de Guimaraes,
2521831107.0,30.0,2.0,0.0,299,81.69,0.0,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Zone', 'Angle', 'Length', 'ThrowIn', 'PassEndX']","[91, 212, 35, 37, 216]",True,401520.0,65.205,2.3800000000000003,,,,,,,,,,,,,False,Benfica,Vitoria de Guimaraes,-0.010112520000000003
2521831191.0,31.0,2.0,3.0,299,64.05,3.3320000000000003,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'Zone', 'StandingSave', 'Angle', 'Longball', 'Length']","[91, 119, 117, 127, 35, 37, 216, 218]",True,443613.0,55.44,38.080000000000005,,,,,,,,,,,,,False,Benfica,Vitoria de Guimaraes,-0.000555319999999998
2521831215.0,32.0,2.0,7.0,299,55.230000000000004,37.876000000000005,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Angle', 'StandingSave', 'PassEndY', 'Zone', 'Length']","[91, 119, 117, 30, 36, 38, 216, 218]",True,75691.0,56.595,21.148000000000003,,,,,,,,,,,,,False,Benfica,Vitoria de Guimaraes,-3.931999999999894e-05
2521831249.0,33.0,2.0,9.0,299,56.595,21.148000000000003,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'Length', 'Angle', 'PassEndX', 'StandingSave']","[91, 119, 117, 30, 36, 38, 216, 218]",True,443613.0,67.62,20.128000000000004,,,,,,,,,,,,,True,Benfica,Vitoria de Guimaraes,0.002495360000000002
2521831283.0,34.0,2.0,11.0,299,67.62,20.128000000000004,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'PassEndY', 'Zone', 'Length', 'PassEndX']","[91, 119, 117, 30, 36, 37, 216, 218]",True,125476.0,68.88,21.148000000000003,,,,,,,,,,,,,False,Benfica,Vitoria de Guimaraes,0.0047710800000000005
2521831289.0,35.0,2.0,12.0,299,68.985,21.148000000000003,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['StandingSave', 'Zone']","[91, 69]",True,135127.0,,,,,,,,,,,,,,,,Benfica,Vitoria de Guimaraes,
2521831275.0,23.0,2.0,12.0,107,32.550000000000004,46.784,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,70967.0,,,,,,,,,,,,,21.0,André André,,Benfica,Vitoria de Guimaraes,
,,2.0,12.0,107,32.550000000000004,46.784,,,Carry,,,,,70967.0,32.235,52.02,,,,,,,,,,,21.0,André André,False,Benfica,Vitoria de Guimaraes,-0.0005097200000000017
